file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error,rank_for_t0,t0_ms,dt_ms,R_um_final,v_eff_um_per_ms
FAPI_TEMPO_19_67,11449.3802,48.6372,464.4906,14.5304,0.333135,0.041818,0,0.0,0.0,5.590563,0.006039,0.492891,0.061611,33,0.3113207547169811,599.688679245283,60.36928779053921,0.10066771289815717
FAPI_TEMPO_44_26,11403.5124,48.5396,425.5021,13.9072,0.208511,0.051848,17,543.595,13.0125,5.504992,0.006056,0.0927,0.011588,34,0.32075471698113206,599.6792452830189,60.24824258133548,0.10046744664791808
FAPI_TEMPO_43_29,11378.3058,48.486,456.2931,14.4016,0.313248,0.043449,0,0.0,0.0,5.603939,0.006067,0.202784,0.025348,35,0.330188679245283,599.6698113207547,60.18161865688198,0.10035792617996524
FAPI_TEMPO_11_9,11219.0083,48.1454,448.5068,14.2782,0.299148,0.044724,2,44.4215,2.4836,5.728123,0.006117,0.334571,0.041821,36,0.33962264150943394,599.6603773584906,59.75885921826155,0.09965450690856026
FAPI_TEMPO_32_22,11099.3802,47.888,440.4085,14.1487,0.280887,0.046309,0,0.0,0.0,5.764076,0.006152,0.297507,0.037188,37,0.3490566037735849,599.6509433962265,59.43940147892322,0.09912333522278466
FAPI_TEMPO_24_52,11052.2727,47.7863,446.9894,14.254,0.304869,0.044436,3,51.0331,0.7256,5.778033,0.006165,0.144382,0.018048,38,0.3584905660377358,599.6415094339623,59.31313231662291,0.09891432027881483
FAPI_TEMPO_49_23,11045.4545,47.7715,464.0148,14.5229,0.355341,0.04045,0,0.0,0.0,5.527743,0.006148,0.178506,0.022313,39,0.36792452830188677,599.6320754716982,59.29483421633995,0.0988853609435351
FAPI_TEMPO_6_5,10757.8512,47.1455,429.4883,13.9722,0.26712,0.047792,1,19.8347,0.0,5.282625,0.006212,0.095248,0.011906,40,0.37735849056603776,599.622641509434,58.517778418649456,0.09759100869063629
FAPI_TEMPO_12_29,10499.7934,46.5766,435.0799,14.0628,0.302968,0.045166,1,16.5289,0.0,5.475837,0.00631,0.145216,0.018152,41,0.3867924528301887,599.6132075471698,57.81166008779991,0.09641492108602699
FAPI_TEMPO_27_3,10489.876,46.5546,422.893,13.8645,0.262912,0.048441,1,19.0083,0.0,5.591378,0.006318,0.136746,0.017093,42,0.39622641509433965,599.6037735849056,57.78435113109844,0.09637089304094583
FAPI_TEMPO_44_23,10434.2975,46.4311,413.2428,13.7054,0.232175,0.051045,0,0.0,0.0,5.426648,0.006327,0.186027,0.023253,43,0.4056603773584906,599.5943396226415,57.63106844084024,0.09611676534023104
FAPI_TEMPO_50_17,10362.8099,46.2718,410.2949,13.6564,0.226438,0.051611,5,390.0826,134.6455,5.682732,0.00636,0.185761,0.02322,44,0.41509433962264153,599.5849056603773,57.43330775615539,0.09578844833143169
FAPI_TEMPO_11_16,10340.4959,46.2219,427.366,13.9376,0.288539,0.046514,0,0.0,0.0,5.65108,0.006367,0.203589,0.025449,45,0.42452830188679247,599.5754716981132,57.37143952362494,0.09568676877514348
FAPI_TEMPO_10_24,10326.8595,46.1914,436.7042,14.0891,0.319539,0.044012,0,0.0,0.0,5.540131,0.006363,0.178496,0.022312,46,0.4339622641509434,599.566037735849,57.33359810862212,0.0956251596990582
FAPI_TEMPO_42_35,10241.5289,46.0002,415.7149,13.7463,0.255296,0.049363,1,16.7355,0.0,5.756515,0.006403,0.164677,0.020585,47,0.44339622641509435,599.5566037735849,57.09623366306225,0.09523076437437412
FAPI_TEMPO_33_26,10060.9504,45.5929,410.0176,13.6518,0.247955,0.050195,1,19.2149,0.0,5.600104,0.006447,0.133742,0.016718,48,0.4528301886792453,599.5471698113207,56.59063506203799,0.09438896205589167
FAPI_TEMPO_27_4,10016.3223,45.4916,399.1385,13.4695,0.20992,0.053445,0,0.0,0.0,5.577938,0.006463,0.110557,0.01382,49,0.46226415094339623,599.5377358490566,56.464983939545796,0.09418086729700326
FAPI_TEMPO_32_29,9931.8182,45.2993,431.5806,14.0062,0.329938,0.043599,4,92.7686,4.4994,5.81913,0.006512,0.778878,0.09736,50,0.4716981132075472,599.5283018867924,56.226292077995865,0.09378421652663355
FAPI_TEMPO_44_32,9569.6281,44.4657,397.21,13.4369,0.237808,0.051689,4,112.1901,8.2634,5.485502,0.006612,0.319976,0.039997,51,0.4811320754716981,599.5188679245283,55.191550361737484,0.09205973875818932
FAPI_TEMPO_25_13,9532.8512,44.3801,382.4518,13.1849,0.181009,0.056597,1,71.0744,0.0,5.759444,0.006639,0.070231,0.008779,52,0.49056603773584906,599.5094339622641,55.085395346489186,0.09188411762333755
FAPI_TEMPO_30_6,9488.2231,44.2761,396.0803,13.4178,0.239974,0.051616,0,0.0,0.0,5.717618,0.00665,0.280366,0.035046,53,0.5,599.5,54.95630277818381,0.09167022982182454
FAPI_TEMPO_37_21,9391.5289,44.05,397.5487,13.4426,0.253267,0.050621,3,68.8017,6.6277,5.874712,0.006687,0.195625,0.024453,54,0.5094339622641509,599.4905660377359,54.67555665240895,0.09120336457299198
FAPI_TEMPO_32_16,9256.405,43.7319,407.5677,13.611,0.299751,0.046887,0,0.0,0.0,5.55605,0.006717,0.20338,0.025422,55,0.5188679245283019,599.4811320754717,54.28079975480345,0.0905463022111758
FAPI_TEMPO_44_14,9193.1818,43.5823,398.8422,13.4645,0.273771,0.049154,2,49.5868,6.7204,5.500044,0.006751,0.205958,0.025745,56,0.5283018867924528,599.4716981132076,54.095107472163285,0.09023796726755173
