label,file_name,json_file,grain_index,area_px,circularity_C,defect_frac_phi,rank,t0_ms,dt_ms_for_v,R_um_final,v_unpen_um_per_ms,penalty_factor,v_eff_um_per_ms,v_unpen_um_per_s,v_eff_um_per_s
FAPI,FAPI_4_147,FAPI_4.json,147,577.0,0.6333125901375878,0.0,1597,27.36150770988007,572.63849229012,6.159743860702667,0.0107567757732603,0.4802853753693691,0.0051663220900244585,10.7567757732603,5.166322090024458
FAPI,FAPI_15_51,FAPI_15.json,51,576.0,0.4349636123953418,0.0,1598,27.37864077669903,572.6213592233009,6.1544038130056045,0.010747772003044715,0.32300974846480923,0.003471635131260592,10.747772003044714,3.471635131260592
FAPI,FAPI_1_152,FAPI_1.json,152,576.0,0.620561511820206,0.0,1599,27.39577384351799,572.604226156482,6.1544038130056045,0.010748093590429983,0.4681919224799575,0.005032170601097923,10.748093590429983,5.032170601097923
FAPI,FAPI_9_95,FAPI_9.json,95,576.0,0.620561511820206,0.0,1600,27.41290691033695,572.5870930896631,6.1544038130056045,0.010748415197060456,0.4681919224799575,0.005032321174724526,10.748415197060455,5.032321174724526
FAPI,FAPI_47_52,FAPI_47.json,52,575.0,0.4410194765171218,0.0,1601,27.43003997715591,572.569960022844,6.1490591278350575,0.010739402269007837,0.32694574248779457,0.003511201848715873,10.739402269007837,3.511201848715873
FAPI,FAPI_11_88,FAPI_11.json,88,575.0,0.619484148084407,0.0,1602,27.44717304397487,572.5528269560251,6.1490591278350575,0.010739723634806776,0.4671841825749372,0.0050174290074079374,10.739723634806776,5.017429007407937
FAPI,FAPI_49_99,FAPI_49.json,99,575.0,0.5971622399385557,0.0,1603,27.46430611079383,572.5356938892062,6.1490591278350575,0.010740045019839389,0.44678601165454285,0.004798501879404276,10.740045019839389,4.798501879404276
FAPI,FAPI_14_142,FAPI_14.json,142,575.0,0.6430814438640552,0.0,1604,27.481439177612792,572.5185608223873,6.1490591278350575,0.010740366424107398,0.4897613181972519,0.005260216017792344,10.740366424107398,5.260216017792344
FAPI,FAPI_46_150,FAPI_46.json,150,575.0,0.5760254387162407,0.0,1605,27.498572244431752,572.5014277555682,6.1490591278350575,0.010740687847612536,0.4282924070763721,0.004600155051909911,10.740687847612536,4.600155051909911
FAPI,FAPI_45_137,FAPI_45.json,137,574.0,0.5750236553445603,0.0,1606,27.515705311250713,572.4842946887493,6.143709793087997,0.010731665217869838,0.4274351537220469,0.004587090972093738,10.731665217869837,4.587090972093738
FAPI,FAPI_10_117,FAPI_10.json,117,574.0,0.5854311121371776,0.0,1607,27.532838378069673,572.4671616219304,6.143709793087997,0.010731986400200602,0.4364254207338251,0.004683711680017237,10.731986400200602,4.683711680017237
FAPI,FAPI_1_153,FAPI_1.json,153,574.0,0.5648912783023076,0.0,1608,27.549971444888634,572.4500285551113,6.143709793087997,0.010732307601756938,0.4188604609039071,0.004495339308634417,10.732307601756938,4.495339308634417
FAPI,FAPI_19_75,FAPI_19.json,75,573.0,0.5950851538865954,0.0,1609,27.567104511707594,572.4328954882924,6.138355796608655,0.010723275767323891,0.44493383546144755,0.004771148215866216,10.72327576732389,4.771148215866216
FAPI,FAPI_14_104,FAPI_14.json,104,573.0,0.36737399806264315,0.0,1610,27.584237578526555,572.4157624214735,6.138355796608655,0.01072359672738876,0.2821681797054844,0.0030258577684629763,10.723596727388761,3.025857768462976
FAPI,FAPI_31_92,FAPI_31.json,92,572.0,0.5250905100017128,0.0,1611,27.60137064534552,572.3986293546545,6.132997126188206,0.01071455592600352,0.38681103765268576,0.004144508495725154,10.71455592600352,4.144508495725154
FAPI,FAPI_11_115,FAPI_11.json,115,572.0,0.5629230160085713,0.0,1612,27.61850371216448,572.3814962878355,6.132997126188206,0.01071487664427238,0.41721484752466903,0.004470405625385738,10.71487664427238,4.470405625385738
FAPI,FAPI_50_129,FAPI_50.json,129,572.0,0.543513345286461,0.0,1613,27.63563677898344,572.3643632210166,6.132997126188206,0.0107151973817419,0.40132917247313604,0.004300321298100791,10.7151973817419,4.300321298100791
FAPI,FAPI_20_70,FAPI_20.json,70,572.0,0.5530904887206407,0.0,1614,27.6527698458024,572.3472301541976,6.132997126188206,0.010715518138413807,0.40909044005346895,0.0043836160306446326,10.715518138413806,4.383616030644633
FAPI,FAPI_37_54,FAPI_37.json,54,572.0,0.534182817435601,0.0,1615,27.66990291262136,572.3300970873786,6.132997126188206,0.010715838914289826,0.393909392214918,0.004221069593800872,10.715838914289826,4.221069593800872
FAPI,FAPI_46_113,FAPI_46.json,113,571.0,0.572018305229519,0.0,1616,27.68703597944032,572.3129640205597,6.12763376956444,0.010706788339228172,0.4248736749974683,0.0045490325091079135,10.706788339228172,4.549032509107914
FAPI,FAPI_3_130,FAPI_3.json,130,571.0,0.45196508067517555,0.0,1617,27.70416904625928,572.2958309537407,6.12763376956444,0.010707108872962843,0.3341818949284464,0.003578121932371905,10.707108872962843,3.578121932371905
FAPI,FAPI_27_99,FAPI_27.json,99,571.0,0.6267270172765383,0.0,1618,27.72130211307824,572.2786978869218,6.12763376956444,0.01070742942589,0.47400094413316535,0.005075331657111096,10.70742942589,5.0753316571110965
FAPI,FAPI_37_43,FAPI_37.json,43,570.0,0.523254529197511,0.0,1619,27.738435179897202,572.2615648201028,6.122265714421437,0.010698369575713238,0.3853932869288289,0.004123079815563506,10.698369575713238,4.123079815563505
FAPI,FAPI_45_105,FAPI_45.json,105,570.0,0.6028811758424988,0.0,1620,27.755568246716162,572.2444317532838,6.122265714421437,0.010698689886179577,0.4519256298963134,0.004835012165877023,10.698689886179576,4.835012165877023
FAPI,FAPI_0_86,FAPI_0.json,86,570.0,0.49741883681838395,0.0,1621,27.772701313535123,572.2272986864649,6.122265714421437,0.010699010215826758,0.36598522093201635,0.003915679617593256,10.699010215826757,3.915679617593256
FAPI,FAPI_9_100,FAPI_9.json,100,570.0,0.523254529197511,0.14035087719298245,1622,27.789834380354083,572.2101656196459,6.122265714421437,0.010699330564656504,0.2529550249169044,0.002706449429576883,10.699330564656504,2.706449429576883
FAPI,FAPI_48_95,FAPI_48.json,95,570.0,0.5416129489742706,0.0,1623,27.806967447173044,572.1930325528269,6.122265714421437,0.010699650932670536,0.39980669865089585,0.004277792116107986,10.699650932670536,4.277792116107986
FAPI,FAPI_20_92,FAPI_20.json,92,569.0,0.5803315379896412,0.0,1624,27.824100513992004,572.175899486008,6.116892948389235,0.01069058125986101,0.43199687523317876,0.004618297698686336,10.69058125986101,4.6182976986863356
FAPI,FAPI_20_69,FAPI_20.json,69,569.0,0.6363710287976476,0.0,1625,27.841233580810965,572.1587664191891,6.116892948389235,0.010690901385067175,0.4832322256616909,0.005166188070635665,10.690901385067175,5.166188070635665
FAPI,FAPI_44_47,FAPI_44.json,47,569.0,0.6245318263228552,0.0,1626,27.858366647629925,572.14163335237,6.116892948389235,0.010691221529445958,0.4719244605773149,0.00504544895319636,10.691221529445958,5.0454489531963596
FAPI,FAPI_40_84,FAPI_40.json,84,568.0,0.32586278802757535,0.0,1627,27.875499714448885,572.1245002855511,6.111515459043499,0.010682142533649934,0.25968798561283823,0.002774024076592771,10.682142533649934,2.774024076592771
FAPI,FAPI_2_174,FAPI_2.json,174,568.0,0.5690129551144779,0.0,1628,27.892632781267846,572.1073672187322,6.111515459043499,0.010682462434899743,0.4223275463750033,0.004511498149374352,10.682462434899744,4.5114981493743525
FAPI,FAPI_36_90,FAPI_36.json,90,568.0,0.5492227230652517,0.0,1629,27.909765848086806,572.0902341519131,6.111515459043499,0.01068278235531048,0.4059381163141524,0.004336548546308801,10.682782355310481,4.336548546308801
FAPI,FAPI_46_91,FAPI_46.json,91,568.0,0.5589864914210988,0.0,1630,27.926898914905767,572.0731010850942,6.111515459043499,0.010683102294883865,0.4139429911570854,0.004422195318781351,10.683102294883865,4.422195318781351
FAPI,FAPI_20_120,FAPI_20.json,120,568.0,0.6007658032956831,0.0,1631,27.944031981724727,572.0559680182753,6.111515459043499,0.010683422253621618,0.45001768661167646,0.0048077289676705035,10.683422253621618,4.807728967670504
FAPI,FAPI_40_114,FAPI_40.json,114,566.0,0.5878153527047348,0.0,1632,27.961165048543688,572.0388349514564,6.100746260440202,0.01066491623939818,0.4385114768262417,0.0046766881703666635,10.66491623939818,4.676688170366663
FAPI,FAPI_11_101,FAPI_11.json,101,566.0,0.6212390398923305,0.0,1633,27.97829811536265,572.0217018846373,6.100746260440202,0.010665235672597912,0.46882677885707663,0.005000148086135666,10.665235672597912,5.000148086135666
FAPI,FAPI_20_87,FAPI_20.json,87,566.0,0.567009388371117,0.0,1634,27.995431182181612,572.0045688178184,6.100746260440202,0.010665555124933399,0.4206386096789091,0.0044863442792057485,10.665555124933398,4.486344279205748
FAPI,FAPI_31_103,FAPI_31.json,103,566.0,0.6212390398923305,0.27208480565371024,1635,28.012564249000572,571.9874357509995,6.100746260440202,0.010665874596406362,0.20726101517224546,0.0022106199965510466,10.665874596406363,2.2106199965510465
FAPI,FAPI_45_133,FAPI_45.json,133,566.0,0.567009388371117,0.0,1636,28.029697315819533,571.9703026841805,6.100746260440202,0.010666194087018525,0.4206386096789091,0.004486613051328873,10.666194087018525,4.486613051328873
FAPI,FAPI_3_109,FAPI_3.json,109,566.0,0.5878153527047348,0.0,1637,28.046830382638493,571.9531696173615,6.100746260440202,0.010666513596771605,0.4385114768262417,0.004677388629907504,10.666513596771605,4.677388629907504
FAPI,FAPI_29_45,FAPI_29.json,45,565.0,0.6824297767313469,0.0,1638,28.063963449457454,571.9360365505426,6.095354526059072,0.010657405962424297,0.5298610659395435,0.005646944483400584,10.657405962424297,5.646944483400585
FAPI,FAPI_10_89,FAPI_10.json,89,565.0,0.5975927444754593,0.0,1639,28.081096516276414,571.9189034837236,6.095354526059072,0.010657725228053319,0.4471708641215852,0.004765824199799021,10.65772522805332,4.765824199799021
FAPI,FAPI_19_133,FAPI_19.json,133,565.0,0.631897418753376,0.0,1640,28.098229583095375,571.9017704169046,6.095354526059072,0.0106580445128115,0.4789279250614371,0.005104435143733247,10.6580445128115,5.104435143733247
