frame_id,time_ms,annotation_id,class,area_px,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,R_px
frame_00019_t38.00ms,0.0,13,,38664,4623.0,1402.0,4542.0,1252.0,162.0,300.0,110.93752043114216
frame_00019_t38.00ms,0.0,15,,35088,4621.0,3147.0,4538.0,2976.0,166.0,342.0,105.6828145273244
frame_00019_t38.00ms,0.0,16,,30212,4597.0,90.0,4490.0,0.0,214.0,180.0,98.06517364174034
frame_00019_t38.00ms,0.0,26,,1024,1314.0,1404.0,1296.0,1384.0,36.0,40.0,18.0540666735282
frame_00020_t40.00ms,0.0,1,,15972368,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2254.808781286258
frame_00020_t40.00ms,0.0,2,,118644,4580.0,2973.0,4456.0,2616.0,248.0,714.0,194.33362585098251
frame_00020_t40.00ms,0.0,4,,65240,4557.0,1035.0,4410.0,884.0,294.0,302.0,144.10599215379804
frame_00020_t40.00ms,0.0,5,,63512,4551.0,2413.0,4398.0,2278.0,306.0,270.0,142.18473016222563
frame_00020_t40.00ms,0.0,7,,50736,4596.0,256.0,4488.0,0.0,216.0,512.0,127.08174686169845
frame_00020_t40.00ms,0.0,8,,47872,86.0,317.0,0.0,140.0,172.0,354.0,123.44282430093062
frame_00020_t40.00ms,0.0,10,,40708,4482.0,3335.0,4330.0,3246.0,304.0,178.0,113.8321520782672
frame_00020_t40.00ms,0.0,11,,39820,4617.0,2765.0,4530.0,2620.0,174.0,290.0,112.58374513151774
frame_00020_t40.00ms,0.0,13,,39048,4621.0,1400.0,4538.0,1250.0,166.0,300.0,111.48705949887035
frame_00020_t40.00ms,0.0,15,,35220,4620.0,3147.0,4536.0,2976.0,168.0,342.0,105.88141570357429
frame_00020_t40.00ms,0.0,16,,30128,4596.0,89.0,4488.0,0.0,216.0,178.0,97.9287508903552
frame_00020_t40.00ms,0.0,27,,1160,1312.0,1403.0,1292.0,1382.0,40.0,42.0,19.21560480373171
frame_00021_t42.00ms,0.0,1,,15989652,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2256.028436930355
frame_00021_t42.00ms,0.0,2,,117908,4581.0,2972.0,4458.0,2616.0,246.0,712.0,193.72992040507938
frame_00021_t42.00ms,0.0,4,,66088,4558.0,1038.0,4412.0,886.0,292.0,304.0,145.03952481346028
frame_00021_t42.00ms,0.0,5,,64700,4551.0,2409.0,4398.0,2268.0,306.0,282.0,143.5083608577955
frame_00021_t42.00ms,0.0,7,,51424,4596.0,256.0,4488.0,0.0,216.0,512.0,127.94048455088503
frame_00021_t42.00ms,0.0,8,,49912,90.0,320.0,0.0,142.0,180.0,356.0,126.04555937916004
frame_00021_t42.00ms,0.0,12,,40840,4484.0,3335.0,4332.0,3246.0,304.0,178.0,114.01655911202553
frame_00021_t42.00ms,0.0,13,,39860,4617.0,2766.0,4530.0,2620.0,174.0,292.0,112.64027726921617
frame_00021_t42.00ms,0.0,15,,39304,4621.0,1402.0,4538.0,1252.0,166.0,300.0,111.8519189221522
frame_00021_t42.00ms,0.0,16,,34656,4621.0,3148.0,4538.0,2976.0,166.0,344.0,105.03022143928598
frame_00021_t42.00ms,0.0,18,,30092,4596.0,90.0,4488.0,0.0,216.0,180.0,97.87022578416088
