dataset,track_id_input,frame_idx,t_ms,det_id,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,R_px,score,R_mono,track_id,r_px,time_ms,x_um,y_um,r_um
FAPI,8,26,52.0,2,4179.0,3306.0,4140.0,3264.0,78.0,84.0,5180.0,40.60597505826004,1.0,40.60597505826004,6,40.60597505826004,52.0,271.635,214.89000000000001,2.639388378786903
FAPI,4,26,52.0,4,4512.0,3065.0,4442.0,2974.0,140.0,182.0,17144.0,73.87221865312364,1.0,73.87221865312364,3,73.87221865312364,52.0,293.28000000000003,199.225,4.801694212453037
FAPI,5,26,52.0,0,4415.0,147.0,4272.0,8.0,286.0,278.0,47252.0,122.64085266319896,1.0,122.64085266319896,5,122.64085266319896,52.0,286.975,9.555,7.971655423107933
FAPI,9,26,52.0,3,4414.0,2856.0,4368.0,2828.0,92.0,56.0,3916.0,35.30582833323309,1.0,35.30582833323309,7,35.30582833323309,52.0,286.91,185.64000000000001,2.2948788416601507
FAPI,1,26,52.0,1,4534.0,3331.0,4374.0,3242.0,320.0,178.0,37604.0,109.40623821361952,1.0,109.40623821361952,4,109.40623821361952,52.0,294.71000000000004,216.51500000000001,7.111405483885269
FAPI,2,26,52.0,5,3905.0,481.0,3888.0,460.0,34.0,42.0,1112.0,18.81384047546846,1.0,18.81384047546846,2,18.81384047546846,52.0,253.82500000000002,31.265,1.2228996309054498
FAPI,2,27,54.0,4,3905.0,481.0,3888.0,460.0,34.0,42.0,1136.0,19.015783725757565,1.0,19.015783725757565,2,19.015783725757565,54.0,253.82500000000002,31.265,1.2360259421742417
FAPI,4,27,54.0,3,4511.0,3066.0,4440.0,2974.0,142.0,184.0,17676.0,75.00963636883387,1.0,75.00963636883387,3,75.00963636883387,54.0,293.21500000000003,199.29000000000002,4.8756263639742015
FAPI,8,27,54.0,1,4183.0,3306.0,4138.0,3262.0,90.0,88.0,6004.0,43.71650210901461,1.0,43.71650210901461,6,43.71650210901461,54.0,271.895,214.89000000000001,2.84157263708595
FAPI,9,27,54.0,2,4412.0,2856.0,4362.0,2826.0,100.0,60.0,4336.0,37.150930896720695,1.0,37.150930896720695,7,37.150930896720695,54.0,286.78000000000003,185.64000000000001,2.414810508286845
FAPI,11,27,54.0,6,521.0,372.0,494.0,340.0,54.0,64.0,2444.0,27.891743614073043,1.0,27.891743614073043,8,27.891743614073043,54.0,33.865,24.18,1.8129633349147478
FAPI,5,27,54.0,8,4417.0,152.0,4270.0,6.0,294.0,292.0,54624.0,131.86113613534272,1.0,131.86113613534272,5,131.86113613534272,54.0,287.105,9.88,8.570973848797276
FAPI,12,27,54.0,7,3618.0,2923.0,3572.0,2896.0,92.0,54.0,4028.0,35.80715321759479,1.0,35.80715321759479,9,35.80715321759479,54.0,235.17000000000002,189.995,2.3274649591436614
FAPI,1,27,54.0,0,4524.0,3331.0,4352.0,3242.0,344.0,178.0,40316.0,113.28274966377585,1.0,113.28274966377585,4,113.28274966377585,54.0,294.06,216.51500000000001,7.36337872814543
FAPI,8,28,56.0,2,4184.0,3306.0,4132.0,3256.0,104.0,100.0,7784.0,49.77674310413073,1.0,49.77674310413073,6,49.77674310413073,56.0,271.96000000000004,214.89000000000001,3.2354883017684974
FAPI,4,28,56.0,4,4506.0,3065.0,4432.0,2970.0,148.0,190.0,19420.0,78.62301183298192,1.0,78.62301183298192,3,78.62301183298192,56.0,292.89,199.225,5.110495769143824
FAPI,2,28,56.0,7,3905.0,481.0,3888.0,460.0,34.0,42.0,1148.0,19.11595536035256,1.0,19.11595536035256,2,19.11595536035256,56.0,253.82500000000002,31.265,1.2425370984229165
FAPI,12,28,56.0,6,3616.0,2922.0,3566.0,2892.0,100.0,60.0,4992.0,39.86229988133503,1.0,39.86229988133503,9,39.86229988133503,56.0,235.04000000000002,189.93,2.591049492286777
FAPI,13,28,56.0,8,4668.0,3046.0,4632.0,2844.0,72.0,404.0,21432.0,82.59550520876425,1.0,82.59550520876425,10,82.59550520876425,56.0,303.42,197.99,5.3687078385696765
FAPI,9,28,56.0,1,4409.0,2855.0,4354.0,2822.0,110.0,66.0,5252.0,40.88720487190668,1.0,40.88720487190668,7,40.88720487190668,56.0,286.58500000000004,185.57500000000002,2.6576683166739343
FAPI,1,28,56.0,3,4519.0,3331.0,4344.0,3240.0,350.0,182.0,42956.0,116.93296999097778,1.0,116.93296999097778,4,116.93296999097778,56.0,293.735,216.51500000000001,7.600643049413556
FAPI,11,28,56.0,0,516.0,370.0,484.0,330.0,64.0,80.0,3508.0,33.416030295843605,1.0,33.416030295843605,8,33.416030295843605,56.0,33.54,24.05,2.1720419692298343
FAPI,5,28,56.0,9,4418.0,151.0,4270.0,6.0,296.0,290.0,54216.0,131.3677616058841,1.0,131.3677616058841,5,131.3677616058841,56.0,287.17,9.815,8.538904504382467
FAPI,1,29,58.0,4,4519.0,3330.0,4342.0,3240.0,354.0,180.0,43884.0,118.18930173788772,1.0,118.18930173788772,4,118.18930173788772,58.0,293.735,216.45000000000002,7.682304612962702
FAPI,13,29,58.0,9,4668.0,3044.0,4632.0,2840.0,72.0,408.0,22064.0,83.80447081605585,1.0,83.80447081605585,10,83.80447081605585,58.0,303.42,197.86,5.447290603043631
FAPI,8,29,58.0,3,4184.0,3306.0,4126.0,3252.0,116.0,108.0,9216.0,54.162200020584606,1.0,54.162200020584606,6,54.162200020584606,58.0,271.96000000000004,214.89000000000001,3.5205430013379995
FAPI,11,29,58.0,0,514.0,368.0,480.0,326.0,68.0,84.0,4064.0,35.96680938658481,1.0,35.96680938658481,8,35.96680938658481,58.0,33.410000000000004,23.92,2.3378426101280128
