track_id_norm,row_class_norm,fit_status_norm,qc_pass_norm,primary_failure_mode,all_failure_modes_joined,tau_ms_norm,tau_lower_ms_norm,tau_upper_ms_norm,tau_lb_ratio,tau_ub_ratio,r2_norm,n_points_fit_norm,n_points_total_norm,fit_t_start_ms_norm,fit_t_end_ms_norm,fit_window_ms_norm,fit_window_over_tau,t0_ms_norm,R0_px_norm,Rinf_px_norm,model_name_norm
74,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,4,4,,,,,,,,
75,fit_ok_qc_fail,ok,0,unspecified,,9.3100991466067,,,,,0.6234180467651387,96,96,,,,,,,,
76,fit_ok_qc_fail,ok,0,unspecified,,10.210782413252163,,,,,0.7745505787362703,96,96,,,,,,,,
77,fit_ok_qc_fail,ok,0,unspecified,,1999.9999998994267,,,,,0.7629701554223779,164,164,,,,,,,,
78,fit_ok_qc_fail,ok,0,unspecified,,29.732579485768824,,,,,0.9931652383022904,13,13,,,,,,,,
79,fit_ok_qc_fail,ok,0,unspecified,,13.476529184461514,,,,,0.8096652136393744,93,93,,,,,,,,
80,fit_ok_qc_fail,ok,0,unspecified,,15.737574054087087,,,,,0.7180152789025805,94,94,,,,,,,,
81,fit_ok_qc_fail,ok,0,unspecified,,1999.9999999835456,,,,,0.7269001729532749,164,164,,,,,,,,
82,fit_ok_qc_fail,ok,0,unspecified,,1789.171662883151,,,,,0.0009666015690367,163,163,,,,,,,,
83,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
84,fit_ok_qc_fail,ok,0,unspecified,,13.182247674266172,,,,,0.944569079870198,53,53,,,,,,,,
85,fit_ok_qc_fail,ok,0,unspecified,,4.781405753644435,,,,,0.7771895719420676,163,163,,,,,,,,
86,fit_ok_qc_fail,ok,0,unspecified,,19.12858570999968,,,,,0.6058413835798832,95,95,,,,,,,,
87,fit_ok_qc_fail,ok,0,unspecified,,7.941040651445733,,,,,0.5695122710919771,92,92,,,,,,,,
88,fit_ok_qc_fail,ok,0,unspecified,,15.461021911460392,,,,,0.6152455633128042,95,95,,,,,,,,
89,fit_ok_qc_fail,ok,0,unspecified,,15.307550196570276,,,,,0.9623494009691772,12,12,,,,,,,,
90,fit_ok_qc_fail,ok,0,unspecified,,11.48901209562969,,,,,0.2584834979303806,96,96,,,,,,,,
