dataset,t_s,active_count,sum_area_um2,mean_R_um
FAPI,0.0,18,6185.569,9.951796582409903
FAPI,0.0,20,7659.553200000001,10.416390892346438
FAPI,0.0,19,6705.041200000001,10.09100440893508
FAPI,0.0,20,6933.377100000001,10.037640915059656
FAPI,0.0,19,7364.1243,10.416127152976053
FAPI,0.0,18,6194.204900000001,10.003898402857
FAPI,0.0,17,6006.276900000001,10.130561390398052
FAPI,0.0,16,5274.3886,9.655193077709397
FAPI,0.0,16,5198.913200000001,9.663352030273806
FAPI,0.0,16,5312.785400000001,9.784764637392977
FAPI,0.0,14,4712.9368,9.808216230963302
FAPI,0.0,14,4198.095200000001,9.397429524335625
FAPI,0.0,15,4457.459500000001,9.369928076780052
FAPI,0.0,15,4240.9705,9.037256302893784
FAPI,0.0,15,4100.463900000001,8.895455425777635
FAPI,0.0,15,4376.8127,9.291842286234674
FAPI,0.0,14,3564.2100000000005,8.78936764037128
FAPI,0.0,15,3705.9165,8.579846450076428
FAPI,0.0,15,3711.9498,8.585223802781334
FAPI,0.0,14,3653.644800000001,8.903540475749754
FAPI,0.0,18,5681.661700000001,9.459727914975533
FAPI,0.0,19,5981.8733,9.51097480938044
FAPI,0.0,19,6053.073,9.518109987128591
FAPI,0.0,17,5827.846700000001,9.96786805170355
FAPI,0.0,10,2543.6528000000003,8.473232832855183
FAPI,0.0,10,2591.6657000000005,8.559931704508202
FAPI,0.0,9,2500.2367000000004,8.88554288241932
FAPI,0.0,9,2543.6866000000005,8.962278853169906
FAPI,0.0,11,2460.3358000000003,7.939847889619624
FAPI,0.0,10,2387.7165000000005,8.212759308859471
FAPI,0.0,10,2501.2507,8.45235720118223
FAPI,0.0,13,3070.6117000000004,7.96471138725593
FAPI,0.0,12,3162.9364000000005,8.688927158589822
FAPI,0.0,11,3158.1368,9.165435748482532
FAPI,0.0,10,2671.8900000000003,8.723152484599224
FAPI,0.0,10,2749.9173000000005,8.981799876330413
FAPI,0.0,11,3364.9928000000004,9.46565980607814
FAPI,0.0,12,3513.1044,9.162828286471102
FAPI,0.0,13,4305.6468,9.684070645600569
FAPI,0.0,14,4584.412300000001,9.67138028954902
FAPI,0.0,15,4785.961700000001,9.533290081900232
FAPI,0.0,13,4227.247700000001,9.65663592290346
FAPI,0.0,18,6121.737700000001,9.83013852668343
FAPI,0.0,17,6038.7080000000005,10.096301585121305
FAPI,0.0,20,6175.6656,9.41129346650664
FAPI,0.0,19,6030.9678,9.520160236127838
FAPI,0.0,10,2898.2317000000003,9.240849254302812
FAPI,0.0,19,4401.5205000000005,8.224162190757532
FAPI-TEMPO,0.0,1,178.85270000000003,7.545235753816024
FAPI-TEMPO,0.0,21,5929.449500000001,9.060615834196213
FAPI-TEMPO,0.0,20,4890.978300000001,8.58998447763229
FAPI-TEMPO,0.0,23,5419.0019,8.438055510757287
FAPI-TEMPO,0.0,20,4860.2541,8.529821982675339
FAPI-TEMPO,0.0,23,5158.370100000001,8.212483772231124
FAPI-TEMPO,0.0,20,5009.531800000001,8.701822151379183
FAPI-TEMPO,0.0,19,4376.5761,8.362208432384328
FAPI-TEMPO,0.0,18,4113.7473,8.32936754257009
FAPI-TEMPO,0.0,21,4707.748500000001,8.201273232582796
FAPI-TEMPO,0.0,19,5120.3451000000005,9.026063648698274
FAPI-TEMPO,0.0,136,40027.00780000001,9.513057113256286
FAPI-TEMPO,0.0,135,39979.2991,9.53396212216938
FAPI-TEMPO,0.0,137,40738.295000000006,9.566650644202072
FAPI-TEMPO,0.0,137,41754.81310000001,9.668267289759362
FAPI-TEMPO,0.0,135,40422.3833,9.60314315541564
FAPI-TEMPO,0.0,138,41425.1617,9.608631169934544
FAPI-TEMPO,0.0,135,40635.965500000006,9.617401943489815
FAPI-TEMPO,0.0,133,41024.0909,9.739546488791422
FAPI-TEMPO,0.0,136,41243.84160000001,9.655168348475028
FAPI-TEMPO,0.0,20,4556.3752,8.309228427595812
FAPI-TEMPO,0.0,136,41274.261600000005,9.659144964607396
FAPI-TEMPO,0.0,20,4519.499400000001,8.276397757324755
FAPI-TEMPO,0.0,21,4795.662300000001,8.325372912003978
FAPI-TEMPO,0.0,17,3496.6438000000003,7.765263293375673
FAPI-TEMPO,0.0,17,3492.9934000000003,7.761034040957664
FAPI-TEMPO,0.0,18,3883.163700000001,7.946565343937445
FAPI-TEMPO,0.0,17,3482.0422000000003,7.747221052114071
FAPI-TEMPO,0.0,16,3292.1200000000003,7.744486110669983
FAPI-TEMPO,0.0,17,3674.4487,7.93358132314553
FAPI-TEMPO,0.0,17,3485.2701,7.750054723527
FAPI-TEMPO,0.0,18,3881.6596,7.945603804931941
FAPI-TEMPO,0.0,15,2997.0629000000004,7.609512017396841
FAPI-TEMPO,0.0,18,3868.1227,7.930159910223718
FAPI-TEMPO,0.0,18,3875.846000000001,7.937250449248218
FAPI-TEMPO,0.0,17,3479.2706000000003,7.741643768830761
FAPI-TEMPO,0.0,19,3891.343300000001,7.656211236336008
FAPI-TEMPO,0.0,18,3497.2522000000004,7.454796759517908
FAPI-TEMPO,0.0,19,3883.8228,7.648498386391707
FAPI-TEMPO,0.0,18,3891.8165,7.959394475192608
FAPI-TEMPO,0.0,16,3511.313000000001,8.188164833844423
FAPI-TEMPO,0.0,18,3865.9426,8.093879033407303
FAPI-TEMPO,0.0,21,4921.398300000001,8.437789844904268
FAPI-TEMPO,0.0,22,5031.096200000001,8.333598107140203
FAPI-TEMPO,0.0,17,3501.1223000000005,7.770245773748713
FAPI-TEMPO,0.0,136,41430.181,9.67057999165171
FAPI-TEMPO,0.0,139,42293.92310000001,9.642598373180558
FAPI-TEMPO,0.0,134,42273.89660000001,9.858879997702196
FAPI-TEMPO,0.0,132,41619.7314,9.860443344776291
FAPI-TEMPO,0.0,134,42100.3674,9.842384190906836
FAPI-TEMPO,0.0,134,42037.60080000001,9.846899801571873
FAPI-TEMPO,0.0,135,42115.08730000001,9.81859743817046
FAPI-TEMPO,0.0,136,43324.434400000006,9.91734310097587
FAPI-TEMPO,0.0,132,41678.357500000006,9.865059828741828
FAPI-TEMPO,0.0,134,42343.91330000001,9.87154882438878
