dataset,track_id,tau_ms,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,tau_source_status,fit_status
FAPI-TEMPO,587,11.450701915378536,0.9792375055127074,0.0517216528579415,1.0479706911140307,8.0,qc_fail,
FAPI-TEMPO,89,11.88905298945347,0.9774616844736718,0.0450962023286998,1.8504417483474709,12.0,ok,
FAPI-TEMPO,545,12.717791386398211,0.6942341598792372,0.1413376773176331,3.1452001990518847,75.0,qc_fail,
FAPI-TEMPO,23,12.866893007129343,0.978234901958648,0.0397700131711781,2.0206898421859734,20.0,ok,
FAPI-TEMPO,48,13.169524984982957,0.9851372398999356,0.0332896317454254,2.429852256363779,95.0,ok,
FAPI-TEMPO,92,13.230233865383523,0.970997716700037,0.0434801480620307,1.9651957980900208,17.0,ok,
FAPI-TEMPO,182,13.652542079785054,0.8056494874319045,0.1647784319302858,1.1719429177728566,65.0,qc_fail,
FAPI-TEMPO,547,13.717254782386416,0.8955455190555606,0.0826252751828802,3.061837128951628,75.0,ok,
FAPI-TEMPO,563,14.198398903771617,0.8871047230165959,0.1081370055833424,0.9860266706748948,9.0,qc_fail,
FAPI-TEMPO,562,14.441402563983624,0.9641632965438997,0.0573412648312862,2.7698140691513347,74.0,ok,
FAPI-TEMPO,600,14.499484282227948,0.8821114090815654,0.0881648779511976,3.310462569957313,73.0,ok,
FAPI-TEMPO,30,14.763332840313584,0.9790981822162812,0.0387005268038948,2.70941530836274,98.0,ok,
FAPI-TEMPO,714,14.768220537185362,0.9829711276412392,0.0262053676455336,2.166814879248736,29.0,ok,
FAPI-TEMPO,631,15.21648249330782,0.7938192716772489,0.1282505520300468,0.7886185263432319,8.0,qc_fail,
FAPI-TEMPO,27,15.604819426259413,0.9980536169305746,0.0129002177703458,2.435145128052845,23.0,ok,
FAPI-TEMPO,564,15.767629231158883,0.8199258714991032,0.1692108692431786,3.044211612050451,74.0,ok,
FAPI-TEMPO,619,15.877194618914029,0.936556870812255,0.0775078210918775,3.5270714596701405,72.0,ok,
FAPI-TEMPO,13,15.952597976235747,0.9877688412035108,0.0345776455914305,1.0029714297216583,11.0,qc_fail,
FAPI-TEMPO,150,16.08902080282653,0.2102522470985037,0.2963673853124903,0.7458502383123174,82.0,qc_fail,
FAPI-TEMPO,604,16.14636229439991,0.8592108317561964,0.095446841324605,2.105737464580013,22.0,ok,
FAPI-TEMPO,506,16.178653473833922,0.8152467303821322,0.1497912787838426,3.461351100112873,80.0,ok,
FAPI-TEMPO,678,16.3588551307137,0.8415150244421612,0.1461372399035411,1.222579443377432,23.0,qc_fail,
FAPI-TEMPO,68,16.57297099977779,0.9927962118046068,0.0219403054794032,1.6894979180483345,17.0,ok,
FAPI-TEMPO,682,17.174870187577245,0.8204095187219237,0.1109014675665192,2.3289841240798665,32.0,ok,
FAPI-TEMPO,84,17.34171961991369,0.945377994020126,0.0731431519596003,3.459864495277696,53.0,ok,
FAPI-TEMPO,739,17.344283504109903,0.9871452931935768,0.0347890373094751,1.0378059143080034,12.0,qc_fail,
FAPI-TEMPO,690,17.52608051136153,0.85148762198088,0.1055351315509601,3.3093537349894446,67.0,ok,
FAPI-TEMPO,592,17.929717877918495,0.9731047709177384,0.0403361935928332,2.7886662991824287,73.0,ok,
FAPI-TEMPO,622,18.62338991867026,0.9471184169850576,0.0575134089011332,3.1143631880817804,72.0,ok,
FAPI-TEMPO,655,18.76462092455141,0.9633379792571336,0.0574937067554316,3.090923085161474,70.0,ok,
FAPI-TEMPO,78,18.82505155175559,0.9814141390811728,0.0427766827284261,1.0624140892796037,13.0,qc_fail,
FAPI-TEMPO,17,19.06593975544292,0.9940493627668116,0.0242670371455493,1.2587892497220607,16.0,ok,
FAPI-TEMPO,546,19.2444648057127,0.981588304524483,0.0417193883243382,1.0392598704050746,14.0,qc_fail,
FAPI-TEMPO,669,19.42383417155916,0.9750965318218944,0.0381201871341913,3.191954763019027,70.0,ok,
FAPI-TEMPO,559,20.475495685488884,0.9637439519391136,0.0472107748656742,3.0280097220767064,75.0,ok,
FAPI-TEMPO,574,20.49010945103328,0.966471616995193,0.0476717075750495,2.635417840448719,74.0,ok,
FAPI-TEMPO,663,20.701340507445146,0.9489621422010196,0.0742589065793267,1.06273311103152,13.0,qc_fail,
FAPI-TEMPO,7,21.0902275811634,0.983433665976706,0.0370389643603959,0.9483065046610912,14.0,qc_fail,
FAPI-TEMPO,581,21.18485516887847,0.7412152320537377,0.1108046054045863,2.737804886445704,73.0,ok,
FAPI-TEMPO,617,21.54979754588352,0.9250933309334616,0.0787846674477465,2.598632301800776,72.0,ok,
FAPI-TEMPO,33,22.15731121707251,0.9587803152430354,0.0661279242319745,1.2636912360749628,18.0,ok,
FAPI-TEMPO,595,22.21970802901152,0.9905976131053182,0.0272321369288497,3.1503564272133264,73.0,ok,
FAPI-TEMPO,601,22.423469326108624,0.2280071652992794,0.2380357038394069,1.8730375478114605,73.0,qc_fail,
FAPI-TEMPO,576,22.55947497929734,0.9741888667305976,0.0476194708775806,1.063854545463696,16.0,qc_fail,
FAPI-TEMPO,644,23.37735119572482,0.8986143918187454,0.0711999995209726,3.079904108775469,71.0,ok,
FAPI-TEMPO,717,23.908701186071028,0.9622789684052124,0.0572888207872147,2.844152824144882,64.0,ok,
FAPI-TEMPO,53,24.86764407972943,0.9931206779227908,0.0252818822508039,1.2063868979230787,17.0,qc_fail,
FAPI-TEMPO,539,25.05414639174701,0.9763815102547672,0.0467087495839895,1.117579484137738,17.0,qc_fail,
