track_id_norm,time_ms_norm,frame_i_norm,R_px_norm
739,254.0,127,60.44995858881887
739,256.0,128,62.07111133505346
739,258.0,129,64.48566005791552
739,260.0,130,66.8701523933503
739,262.0,131,67.82488094444503
739,264.0,132,71.50755213022198
739,266.0,133,73.3793570064838
74,38.0,19,52.82935814544293
74,42.0,21,54.34993784527796
74,44.0,22,54.46694538188211
74,46.0,23,54.74674317533942
740,244.0,122,82.74182154171474
741,244.0,122,101.42239536668112
741,246.0,123,101.22133478908414
741,248.0,124,102.75068031377684
741,250.0,125,104.367448494295
741,252.0,126,104.13539841240048
741,254.0,127,105.65871629088583
741,256.0,128,105.57432914592266
741,258.0,129,106.65421741620884
741,260.0,130,107.9829975074068
741,262.0,131,108.200913183946
741,264.0,132,107.98889290213764
741,266.0,133,107.07123264815534
741,268.0,134,106.99390985805616
741,270.0,135,112.5780903564002
741,272.0,136,111.99980354773317
741,274.0,137,112.950698263651
741,276.0,138,112.14749316366344
741,278.0,139,112.23261030585078
741,280.0,140,114.17279211352675
741,282.0,141,115.47570199834838
741,284.0,142,116.21757651298104
741,288.0,144,112.345999514712
741,290.0,145,113.0915170420165
741,292.0,146,113.0239459244274
741,294.0,147,113.06899782294778
742,244.0,122,107.1960208740737
742,246.0,123,109.24318858767664
743,244.0,122,159.54100331513726
744,244.0,122,115.6740004306146
744,246.0,123,112.73631684398065
744,248.0,124,112.60636139231872
744,250.0,125,110.5235730158465
744,252.0,126,111.11527287145036
744,254.0,127,110.6156952014718
744,256.0,128,110.67323262809424
744,258.0,129,111.91450934333668
744,260.0,130,111.9827499041554
744,262.0,131,112.05094890554672
744,264.0,132,112.41964117111044
744,266.0,133,111.93726081934798
744,268.0,134,112.19857119766078
744,270.0,135,111.50989818793488
744,272.0,136,111.14964373566514
744,274.0,137,111.30418127938022
744,276.0,138,111.32705748582453
744,278.0,139,111.06942850730344
744,280.0,140,110.27561331393964
744,282.0,141,110.28715868520236
744,284.0,142,109.51674078151356
744,286.0,143,111.25841475553771
744,288.0,144,111.26413660052366
744,290.0,145,109.61551707521036
744,292.0,146,109.03319507926112
744,294.0,147,108.79354212386907
744,296.0,148,109.09156715640108
744,298.0,149,109.07405881329144
744,300.0,150,107.54584150200424
744,302.0,151,107.76464117478152
744,304.0,152,107.04149972357324
744,306.0,153,107.09501304437264
744,308.0,154,108.44774628695008
744,310.0,155,106.88079900227112
744,312.0,156,107.34438914006276
744,314.0,157,107.17820288006624
744,316.0,158,106.39125693728596
744,318.0,159,107.32066400127368
744,320.0,160,106.37330414188229
744,322.0,161,105.56226833259194
744,324.0,162,105.89945188728464
744,326.0,163,105.04840376807093
744,328.0,164,106.0616395203052
744,330.0,165,105.57432914592266
744,332.0,166,104.9331958098565
744,334.0,167,105.23005426474754
744,336.0,168,104.53810316081837
744,338.0,169,105.24215315001486
744,340.0,170,105.44762180425018
744,342.0,171,105.33285049224772
744,344.0,172,105.14532308636184
744,346.0,173,104.69631913598975
744,348.0,174,106.03162349040728
744,350.0,175,106.60645466530656
744,352.0,176,104.98171983363376
744,354.0,177,105.20585232002432
744,356.0,178,104.0436572278116
744,358.0,179,105.70088459918892
744,360.0,180,106.1096475071567
744,362.0,181,104.98171983363376
744,364.0,182,105.29053478831354
744,366.0,183,103.85380196916992
745,244.0,122,121.42534302209395
745,246.0,123,120.58884210581132
746,246.0,123,171.6323690537211
747,246.0,123,78.63920440072296
748,246.0,123,65.02636794459211
748,248.0,124,65.0067846380361
748,250.0,125,63.269780532631465
748,252.0,126,63.82079052791328
748,254.0,127,62.449441354777576
748,256.0,128,62.39844972273051
748,258.0,129,61.10983214433036
748,260.0,130,59.95294183597135
748,262.0,131,59.226471663820845
748,264.0,132,59.09734402837873
748,266.0,133,58.838238604965966
748,268.0,134,58.751616197148365
748,270.0,135,57.21449877010287
748,272.0,136,57.05850958347765
748,274.0,137,56.76767819564842
748,276.0,138,57.080819852007046
748,278.0,139,57.09197171688868
748,280.0,140,55.95441037580295
748,282.0,141,55.00197413085049
748,284.0,142,54.66528342095582
748,286.0,143,55.56622981616415
748,288.0,144,56.09077388519958
748,290.0,145,55.68068149214879
748,292.0,146,54.90930014062158
748,294.0,147,54.44356399193075
748,296.0,148,54.61868044281633
748,298.0,149,55.10604607657279
749,246.0,123,51.79493914232344
749,248.0,124,52.12574400874137
749,250.0,125,50.98975534702242
749,252.0,126,51.8563585154286
749,254.0,127,50.802131423574885
749,256.0,128,51.07707731617333
749,258.0,129,50.20970323130403
749,260.0,130,49.30126054067407
749,262.0,131,49.18490759365935
749,264.0,132,49.19784928776404
749,266.0,133,49.24958205630262
749,268.0,134,49.41733953585565
75,38.0,19,16.622063085174787
75,40.0,20,17.44431859350499
75,42.0,21,19.64157789116634
75,44.0,22,20.185060176161283
75,46.0,23,20.98906578384008
75,48.0,24,21.850968611841584
75,50.0,25,21.528102431092236
75,52.0,26,22.42609239636699
75,54.0,27,23.04215463350949
75,56.0,28,22.792141940852037
75,58.0,29,23.722813466638858
75,60.0,30,23.04215463350949
75,62.0,31,23.58825303088947
75,64.0,32,24.2535908613064
75,66.0,33,24.61832697999475
75,68.0,34,24.64417299969047
75,70.0,35,23.695962509005764
75,72.0,36,24.121991458915023
75,74.0,37,24.592453796829677
75,76.0,38,24.384480051691096
75,78.0,39,24.61832697999475
75,80.0,40,24.069150231250354
75,82.0,41,23.90992587997897
75,84.0,42,24.79868343495444
75,86.0,43,24.462677409178383
75,88.0,44,25.079480359432697
75,90.0,45,24.33220886606579
75,92.0,46,23.85661494212072
75,94.0,47,24.61832697999475
75,96.0,48,24.201036973199617
75,98.0,49,24.721548929484133
75,100.0,50,24.306031118985995
75,102.0,51,23.90992587997897
75,104.0,52,24.43663942690957
75,106.0,53,24.41057367076932
75,108.0,54,24.22732816723524
75,110.0,55,24.306031118985995
75,112.0,56,23.74963406702674
75,114.0,57,24.35835848013133
75,116.0,58,24.121991458915023
75,118.0,59,24.17471718621419
75,120.0,60,24.201036973199617
75,122.0,61,23.507147049675357
75,124.0,62,24.17471718621419
75,126.0,63,24.04268606686374
75,128.0,64,23.96311821686732
75,130.0,65,24.069150231250354
75,132.0,66,23.42576026046658
75,134.0,67,23.93653682408596
75,136.0,68,23.96311821686732
75,138.0,69,23.93653682408596
75,140.0,70,23.90992587997897
75,142.0,71,23.96311821686732
75,144.0,72,24.901157769991823
75,146.0,73,25.13019725725687
75,148.0,74,25.003212122944625
75,150.0,75,25.003212122944625
75,152.0,76,24.849973424463737
75,154.0,77,24.64417299969047
75,156.0,78,24.9777376261388
75,158.0,79,24.61832697999475
75,160.0,80,25.028660691489268
75,162.0,81,24.669991941291908
75,164.0,82,24.22732816723524
75,166.0,83,24.747287144606645
75,168.0,84,24.384480051691096
75,170.0,85,24.721548929484133
75,172.0,86,24.2535908613064
75,174.0,87,23.883285285767386
75,176.0,88,24.514670406003766
75,178.0,89,23.96311821686732
75,180.0,90,24.279825147895533
75,182.0,91,24.384480051691096
75,184.0,92,23.64216910815792
75,186.0,93,24.201036973199617
75,188.0,94,23.829914749152643
75,190.0,95,23.93653682408596
75,192.0,96,24.04268606686374
75,194.0,97,23.28948359361322
75,196.0,98,23.74963406702674
75,198.0,99,23.74963406702674
75,200.0,100,23.56124872549269
75,202.0,101,23.96311821686732
75,204.0,102,22.764193258431348
75,206.0,103,23.480049464818546
75,208.0,104,23.452920571340155
75,210.0,105,23.26213245840639
75,212.0,106,23.615226456547084
75,214.0,107,22.764193258431348
75,216.0,108,22.875783109789968
75,218.0,109,24.148368712786887
75,220.0,110,25.079480359432697
75,222.0,111,26.34227689249097
75,224.0,112,27.846056861676377
75,226.0,113,28.79025779013781
75,228.0,114,30.52886088189566
750,246.0,123,83.40851798487328
750,250.0,125,83.81206696117148
750,252.0,126,84.1077815100872
750,254.0,127,84.00932565178111
750,256.0,128,84.6885963721986
750,258.0,129,84.5079913760795
750,260.0,130,85.8087657946637
750,262.0,131,85.87551131205021
750,264.0,132,85.19075891779828
750,266.0,133,84.62843753216345
750,268.0,134,84.25902741809489
750,270.0,135,86.33391161577033
750,272.0,136,85.86809770550019
750,274.0,137,85.99404209491391
750,276.0,138,85.1159973773619
750,278.0,139,84.68107885441964
750,280.0,140,86.5033456255222
750,282.0,141,87.63664150252737
750,284.0,142,89.4912103861836
750,286.0,143,87.35287397445965
750,288.0,144,86.24537912458163
750,290.0,145,87.56396826546379
750,292.0,146,87.75279349717742
750,294.0,147,88.5615921015911
750,296.0,148,89.11338306064476
750,298.0,149,88.68371140084915
750,300.0,150,89.44851759037577
750,302.0,151,89.67597763362988
750,304.0,152,89.54810245193393
750,306.0,153,89.27754224911278
750,308.0,154,88.90596770586264
750,310.0,155,88.64781142309958
750,312.0,156,88.62626445626161
750,314.0,157,88.46089668289775
750,316.0,158,88.28800877168239
750,318.0,159,88.35288138352524
750,320.0,160,88.9417634828519
750,322.0,161,88.67653256800452
750,324.0,162,88.56878025079344
750,326.0,163,88.86299374006865
750,328.0,164,88.29521919341613
750,330.0,165,88.28800877168239
750,332.0,166,88.86299374006865
750,334.0,167,88.42490624376502
750,336.0,168,89.09194869279156
750,338.0,169,88.3024290263758
750,340.0,170,88.65499258163727
750,342.0,171,89.1205267043342
750,344.0,172,88.95607776048266
750,346.0,173,89.54810245193393
750,348.0,174,89.33457038795228
750,350.0,175,88.88448332010309
750,352.0,176,89.83202232239604
750,354.0,177,89.21334201866614
750,356.0,178,89.39868356023268
750,358.0,179,89.09909405501125
750,360.0,180,88.96323403560469
750,362.0,181,90.15742483894093
750,364.0,182,89.4912103861836
750,366.0,183,89.29893206906969
751,246.0,123,39.8303461288
751,250.0,125,40.14873925336531
751,252.0,126,40.212115361090575
751,254.0,127,40.60597505826004
751,256.0,128,40.527509332654034
751,258.0,129,40.90277205498429
751,260.0,130,41.18197510546619
751,262.0,131,40.93388866051544
751,264.0,132,40.3385688661799
751,266.0,133,40.05348706874727
751,268.0,134,40.1170136543742
751,270.0,135,40.05348706874727
751,272.0,136,39.67019129387532
751,274.0,137,39.525497104907416
751,276.0,138,39.1044843109704
751,278.0,139,38.7610972856483
751,280.0,140,39.58987092134787
751,282.0,141,39.73433069112404
751,284.0,142,40.03758967297569
751,286.0,143,39.42873931692001
751,288.0,144,39.26694651579471
751,290.0,145,40.03758967297569
751,292.0,146,40.306992682189374
751,294.0,147,40.68428945128219
751,296.0,148,40.88720487190668
751,298.0,149,40.82487677946288
751,300.0,150,41.59726603149642
751,302.0,151,42.09928082843396
751,304.0,152,42.37060016186435
751,306.0,153,42.28035383967556
751,308.0,154,42.26529405154344
751,310.0,155,42.96739856991561
751,312.0,156,42.81897878766651
751,314.0,157,43.52677845379694
751,316.0,158,43.40961329254202
751,318.0,159,43.14482836218969
751,320.0,160,43.73106214342632
751,322.0,161,43.84736836516071
751,324.0,162,43.87639674858871
751,326.0,163,44.266416834293416
751,328.0,164,43.89090374080148
751,330.0,165,44.25203294542162
751,332.0,166,44.266416834293416
751,334.0,167,44.38132012125481
751,336.0,168,44.809583372838354
751,338.0,169,44.32390571154979
751,340.0,170,44.35262220676277
751,342.0,171,44.52453223957157
751,344.0,172,44.40999949104669
751,346.0,173,44.724258795187886
751,348.0,174,44.1512145131879
751,352.0,176,44.62450725740055
751,354.0,177,44.20885319897447
751,356.0,178,44.809583372838354
752,246.0,123,204.94608886550697
752,250.0,125,180.1771036289363
752,252.0,126,180.63232427609208
752,254.0,127,181.16021225725464
752,256.0,128,181.6410094739684
752,258.0,129,182.1450049196083
752,260.0,130,183.08973410267265
752,262.0,131,183.3607466669917
752,264.0,132,183.4544654293936
752,266.0,133,183.4371137154662
752,268.0,134,183.75612296295463
752,270.0,135,184.3821278865541
752,272.0,136,184.48222957989992
752,274.0,137,185.08170280056
752,276.0,138,185.006014609176
752,278.0,139,185.040422170449
752,280.0,140,185.21236409660872
752,282.0,141,185.62780448835704
752,286.0,143,185.788923399029
752,288.0,144,185.5660623265
752,290.0,145,186.3192856019049
752,292.0,146,186.61631232986085
752,294.0,147,187.07968517634444
752,296.0,148,187.1749430691318
752,298.0,149,187.23615469438047
752,300.0,150,188.03009248044845
752,302.0,151,188.20606827233877
753,246.0,123,85.22064516987282
753,248.0,124,84.52305653198421
753,250.0,125,86.78255531561909
753,252.0,126,84.66604181641519
753,254.0,127,86.547491250047
753,256.0,128,86.19369317722541
753,258.0,129,87.83255889219186
753,260.0,130,92.74700191505254
753,262.0,131,93.10324817404056
753,264.0,132,92.73327280507944
753,266.0,133,92.37559974806692
753,268.0,134,91.82261303859876
753,270.0,135,95.11239122923644
753,272.0,136,95.17261224347028
753,274.0,137,95.48648270749374
753,276.0,138,94.48786000160528
753,278.0,139,94.24499490197076
753,280.0,140,97.47916045164996
753,282.0,141,107.077178242332
753,284.0,142,106.99390985805616
753,286.0,143,98.03270925390672
753,288.0,144,96.32287663107417
753,290.0,145,97.64229468307728
753,292.0,146,98.324502862583
753,294.0,147,108.9923160244752
753,296.0,148,109.22570454873924
753,298.0,149,98.6735161965448
753,300.0,150,109.36549859641347
753,302.0,151,109.30727280375616
753,304.0,152,109.66196925107452
753,306.0,153,109.9402701387026
753,308.0,154,99.20115141094922
753,310.0,155,110.50629155643104
753,312.0,156,101.0324771058386
753,314.0,157,111.23552443233372
753,316.0,158,102.63909583165052
753,318.0,159,99.5790619276836
753,320.0,160,102.36582170417228
753,322.0,161,104.32474120934197
753,324.0,162,104.15984908153584
753,326.0,163,106.00760454718588
753,328.0,164,100.77379921789024
753,330.0,165,102.82500269623527
753,332.0,166,104.2759114658716
753,334.0,167,103.7249929043725
753,336.0,168,106.69599228404547
753,338.0,169,101.208755240811
753,340.0,170,101.94829279430398
753,342.0,171,102.75068031377684
753,344.0,172,102.5273899079339
753,346.0,173,105.26634674875974
753,348.0,174,101.271637356378
753,350.0,175,100.19727446511088
753,352.0,176,103.69430049568032
753,354.0,177,102.72589423687208
753,356.0,178,107.4925526186424
753,358.0,179,103.38687526979278
753,360.0,180,101.84208035685758
753,362.0,181,104.01305885135136
753,364.0,182,103.12175656779746
753,366.0,183,107.47478378595324
754,246.0,123,67.98425955608137
755,246.0,123,139.79156102066847
755,250.0,125,99.9873837304512
755,252.0,126,99.2524778411902
755,254.0,127,100.93791575503612
755,256.0,128,100.23538919715516
755,258.0,129,101.77955067677046
755,260.0,130,144.88142439424004
755,262.0,131,145.0000158696948
755,264.0,132,145.69206035429625
755,266.0,133,146.0586477139839
755,270.0,135,147.39932018622343
755,272.0,136,145.97144851354648
755,274.0,137,145.96708718611265
755,276.0,138,146.24159679419714
755,278.0,139,148.47943533395238
755,280.0,140,146.49821079472576
755,282.0,141,146.95378837666314
755,284.0,142,148.6422746724137
755,286.0,143,148.22195635062045
755,288.0,144,146.92346048688054
755,290.0,145,147.55472278097804
755,292.0,146,146.9494562041941
755,294.0,147,148.6979419288338
755,296.0,148,149.3472810086296
755,298.0,149,148.80493581359866
755,300.0,150,150.00229743093868
755,302.0,151,150.41340854591093
755,304.0,152,150.85716298073584
755,306.0,153,150.92888621750575
755,308.0,154,149.8834164519451
755,310.0,155,150.844502398868
755,312.0,156,150.70939001445984
755,314.0,157,151.5434646178717
755,316.0,158,151.51405542580855
755,318.0,159,150.39647772544464
755,320.0,160,152.06767115820517
755,322.0,161,153.05247839887312
755,324.0,162,152.96926604106727
755,326.0,163,154.70732678813758
755,328.0,164,152.25594369676708
755,330.0,165,153.05663782921098
755,332.0,166,153.80764201163518
755,334.0,167,153.67099217550157
755,336.0,168,154.78960479575588
755,338.0,169,152.5441769441883
755,340.0,170,152.33536668266854
755,342.0,171,153.4554182160957
755,344.0,172,153.28938579721503
755,346.0,173,149.7601902392952
755,348.0,174,152.43145492932877
755,350.0,175,152.6443044094783
