pair_id,metric,delta
190,"Full entropy (raw_reconstructed, mask)",0.3267700394542299
191,"Full entropy (raw_reconstructed, mask)",0.3000870578201491
193,"Full entropy (raw_reconstructed, mask)",0.3398983494731196
194,"Full entropy (raw_reconstructed, mask)",0.3353502727194577
196,"Full entropy (raw_reconstructed, mask)",-0.06435082507311307
197,"Full entropy (raw_reconstructed, mask)",0.028404528130526074
198,"Full entropy (raw_reconstructed, mask)",-0.015047338949089273
200,"Full entropy (raw_reconstructed, mask)",-0.002900675628713323
201,"Full entropy (raw_reconstructed, mask)",0.12521664741630723
202,"Full entropy (raw_reconstructed, mask)",0.05057090018938659
203,"Full entropy (raw_reconstructed, mask)",-0.18176359002288933
204,"Full entropy (raw_reconstructed, mask)",-0.13579744519998727
205,"Full entropy (raw_reconstructed, mask)",0.04292721735755478
207,"Full entropy (raw_reconstructed, mask)",0.021512299539053537
208,"Full entropy (raw_reconstructed, mask)",-0.01854923061303726
209,"Full entropy (raw_reconstructed, mask)",0.14373118560076925
210,"Full entropy (raw_reconstructed, mask)",0.13118781937385826
211,"Full entropy (raw_reconstructed, mask)",0.006238572278863153
212,"Full entropy (raw_reconstructed, mask)",-0.18948481187719501
213,"Full entropy (raw_reconstructed, mask)",-0.08259717358763297
215,"Full entropy (raw_reconstructed, mask)",-0.20664064266101878
216,"Full entropy (raw_reconstructed, mask)",-0.0819987686477992
217,"Full entropy (raw_reconstructed, mask)",-0.17147332678353866
218,"Full entropy (raw_reconstructed, mask)",-0.1383484369087915
219,"Full entropy (raw_reconstructed, mask)",-0.20469639987848876
220,"Full entropy (raw_reconstructed, mask)",-0.19487305820435008
221,"Full entropy (raw_reconstructed, mask)",-0.22665078923631565
222,"Full entropy (raw_reconstructed, mask)",-0.11113742919690761
223,"Full entropy (raw_reconstructed, mask)",0.05402026070485988
224,"Full entropy (raw_reconstructed, mask)",-0.05423070426951693
225,"Full entropy (raw_reconstructed, mask)",-0.012983698640882224
226,"Full entropy (raw_reconstructed, mask)",-0.016441084088799407
227,"Full entropy (raw_reconstructed, mask)",0.020991223926006164
228,"Full entropy (raw_reconstructed, mask)",-0.003002857404337256
229,"Full entropy (raw_reconstructed, mask)",-0.039589031752396586
230,"Full entropy (raw_reconstructed, mask)",-0.13047145235709579
231,"Full entropy (raw_reconstructed, mask)",-0.1091982225493684
232,"Full entropy (raw_reconstructed, mask)",0.0038584753922572546
233,"Full entropy (raw_reconstructed, mask)",-0.02252198861663679
234,"Full entropy (raw_reconstructed, mask)",-0.009194132804188015
235,"Full entropy (raw_reconstructed, mask)",-0.06781763619249759
236,"Full entropy (raw_reconstructed, mask)",-0.011334090987853429
237,"Full entropy (raw_reconstructed, mask)",0.047077402379335
239,"Full entropy (raw_reconstructed, mask)",-0.02093148149715951
240,"Full entropy (raw_reconstructed, mask)",0.026273549450090528
241,"Full entropy (raw_reconstructed, mask)",0.013596928230572125
242,"Full entropy (raw_reconstructed, mask)",-0.010791129123597365
243,"Full entropy (raw_reconstructed, mask)",-0.022507539351700245
245,"Full entropy (raw_reconstructed, mask)",0.018417887183690418
246,"Full entropy (raw_reconstructed, mask)",-0.18577544474471086
247,"Full entropy (raw_reconstructed, mask)",-0.007737437416160731
248,"Full entropy (raw_reconstructed, mask)",-0.015554242953618846
249,"Full entropy (raw_reconstructed, mask)",-0.007828804230589625
250,"Full entropy (raw_reconstructed, mask)",-0.1981121485819095
251,"Full entropy (raw_reconstructed, mask)",-0.002556239322785814
252,"Full entropy (raw_reconstructed, mask)",-0.014120528538177801
253,"Full entropy (raw_reconstructed, mask)",-0.038639028254015884
254,"Full entropy (raw_reconstructed, mask)",-0.01979822237738027
255,"Full entropy (raw_reconstructed, mask)",0.1282658772059282
256,"Full entropy (raw_reconstructed, mask)",0.005897953870040773
257,"Full entropy (raw_reconstructed, mask)",-0.09859136851138839
258,"Full entropy (raw_reconstructed, mask)",0.22180632934039668
259,"Full entropy (raw_reconstructed, mask)",0.28046990068711075
260,"Full entropy (raw_reconstructed, mask)",0.36766274588555525
261,"Full entropy (raw_reconstructed, mask)",0.35743086925773415
262,"Full entropy (raw_reconstructed, mask)",0.43761686344866746
263,"Full entropy (raw_reconstructed, mask)",0.413687358010165
264,"Full entropy (raw_reconstructed, mask)",0.34789344169944236
265,"Full entropy (raw_reconstructed, mask)",0.40321913353871786
266,"Full entropy (raw_reconstructed, mask)",0.3397462824430999
267,"Full entropy (raw_reconstructed, mask)",0.19349074882775508
269,"Full entropy (raw_reconstructed, mask)",0.15139923705482072
270,"Full entropy (raw_reconstructed, mask)",0.09458963620147198
271,"Full entropy (raw_reconstructed, mask)",-0.05145090169290256
272,"Full entropy (raw_reconstructed, mask)",0.058917803248883516
273,"Full entropy (raw_reconstructed, mask)",0.29312990049643606
274,"Full entropy (raw_reconstructed, mask)",0.10916963991756568
275,"Full entropy (raw_reconstructed, mask)",0.0987390700362587
276,"Full entropy (raw_reconstructed, mask)",0.01199269785114776
277,"Full entropy (raw_reconstructed, mask)",0.07126387978171866
278,"Full entropy (raw_reconstructed, mask)",0.09396441430386027
279,"Full entropy (raw_reconstructed, mask)",0.07178076196142591
280,"Full entropy (raw_reconstructed, mask)",-0.13300113275853054
281,"Full entropy (raw_reconstructed, mask)",0.02431941850339925
282,"Full entropy (raw_reconstructed, mask)",0.21824686350960398
283,"Full entropy (raw_reconstructed, mask)",0.26713060587889625
284,"Full entropy (raw_reconstructed, mask)",0.17808361621847357
285,"Full entropy (raw_reconstructed, mask)",-0.03258900605251025
286,"Full entropy (raw_reconstructed, mask)",0.011306026459092955
289,"Full entropy (raw_reconstructed, mask)",-0.23436532721887904
290,"Full entropy (raw_reconstructed, mask)",-0.24983590749081763
291,"Full entropy (raw_reconstructed, mask)",-0.3259526395940835
292,"Full entropy (raw_reconstructed, mask)",-0.028951279374934913
