group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01,full_entropy_raw_reconstructed_mask
FAPI-TEMPO,FAPI_TEMPO_1006,1006,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1006.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1006_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1006_heatmap_norm01.png,18.0,221.0,349,0.7729882479119234,0.2230372623855961,1.9152529218497332,0.5526251784801416,1.6581141299990811,0.4784306065155185,5.689985903412014
FAPI-TEMPO,FAPI_TEMPO_1007,1007,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1007.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1007_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1007_heatmap_norm01.png,18.0,221.0,416,0.7473352923882176,0.215635384041957,1.89814681611322,0.5476893996971435,1.8810597414268115,0.5427591121144674,5.685319550919844
FAPI-TEMPO,FAPI_TEMPO_1008,1008,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1008.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1008_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1008_heatmap_norm01.png,18.0,221.0,348,0.6931471805599453,0.1999999999999999,1.5908866481083208,0.4590328555684679,2.05422563749977,0.5927242280175775,5.686997274362185
FAPI-TEMPO,FAPI_TEMPO_1009,1009,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1009.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1009_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1009_heatmap_norm01.png,18.0,221.0,354,0.7612879608566421,0.2196612731632697,1.9183669147052385,0.5535236868901416,1.9157265364830915,0.5527618347767091,5.642442343434049
FAPI-TEMPO,FAPI_TEMPO_101,101,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_101.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_101_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_101_heatmap_norm01.png,18.0,217.0,433,0.8139477960230885,0.2348556897730022,1.890557011391566,0.5454994449704943,1.932372164102414,0.5575647476604854,5.680418586013366
FAPI-TEMPO,FAPI_TEMPO_1010,1010,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1010.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1010_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1010_heatmap_norm01.png,18.0,221.0,351,0.6917614988524178,0.1996001767744599,1.7219968113225148,0.49686325202432,1.891053111376833,0.5456425891682003,5.688839397336549
FAPI-TEMPO,FAPI_TEMPO_1011,1011,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1011.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1011_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1011_heatmap_norm01.png,18.0,221.0,330,0.6898468822991377,0.1990477352131356,1.9346231313447584,0.5582142395160321,1.8031598444772143,0.5202819531114783,5.706281040333131
FAPI-TEMPO,FAPI_TEMPO_1012,1012,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1012.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1012_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1012_heatmap_norm01.png,18.0,221.0,320,0.715767435909365,0.2065268260432499,1.7523153265919795,0.5056113263495946,1.9024622402411129,0.5489345678948723,5.7092157464894
FAPI-TEMPO,FAPI_TEMPO_1013,1013,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1013.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1013_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1013_heatmap_norm01.png,18.0,220.0,335,0.8766666046423313,0.2529525126060913,2.026520699817521,0.5847302727771139,1.9633815843099565,0.5665121750113381,5.627428210958762
FAPI-TEMPO,FAPI_TEMPO_1014,1014,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1014.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1014_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1014_heatmap_norm01.png,19.0,220.0,357,0.6931274027308905,0.1999942933248206,1.8904531551902997,0.5454694784051878,2.110572676095652,0.608982546647789,5.6824928228786
FAPI-TEMPO,FAPI_TEMPO_1015,1015,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1015.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1015_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1015_heatmap_norm01.png,18.0,221.0,345,0.7621042220469585,0.2198967963575377,1.817382066602084,0.5243856189774725,2.0788035486530783,0.599815914124835,5.709596256802853
FAPI-TEMPO,FAPI_TEMPO_1016,1016,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1016.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1016_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1016_heatmap_norm01.png,18.0,221.0,312,0.6931471805599453,0.1999999999999999,1.5207863514413482,0.4388061854952106,1.871647299918128,0.5400432555770204,5.700405434642695
FAPI-TEMPO,FAPI_TEMPO_1017,1017,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1017.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1017_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1017_heatmap_norm01.png,20.0,221.0,277,0.6134538911544732,0.1770053773165193,1.8087680239071868,0.5219001316418856,1.764752165197256,0.5091998394256284,5.515264411728293
