label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std
FAPI,FAPI_0.json,37,21792.0,714.0,0.5371684917655594,665.8585260646108,442.7488069016153,665.8585260646108,442.7488069016153,82.72955453402352,37.6019501186395,0.6721824737796483,0.18482163048199401
FAPI,FAPI_0.json,38,5041.0,304.0,0.6854557032005777,1698.6413410037692,902.9777821860741,1698.6413410037692,902.9777821860741,39.81931394141402,18.098536430142637,0.3253742959558508,0.08997626808524159
FAPI,FAPI_0.json,39,19116.0,734.0,0.4458766875247606,837.7162063193136,181.92038083281022,837.7162063193136,181.92038083281022,76.52861748319441,34.78352172279691,0.9259262151210839,0.27334325915185326
FAPI,FAPI_0.json,40,27764.0,902.0,0.42882374439784965,916.6359314219853,340.672021322576,916.6359314219853,340.672021322576,93.68384931446776,42.58085817923757,0.8752817085336032,0.22252089060426064
FAPI,FAPI_0.json,41,33042.0,927.0,0.48318864816578494,481.65277525573515,224.57672053749772,481.65277525573515,224.57672053749772,100.94641856080335,45.881815957531494,1.0209659198733765,0.27985226187357565
FAPI,FAPI_0.json,42,30693.0,934.0,0.4421355653729969,1682.8594141986773,284.0467533313785,1682.8594141986773,284.0467533313785,97.212111458054,44.18451164837419,0.9749082743789189,0.25738226318398677
FAPI,FAPI_0.json,43,5362.0,405.0,0.4107963983185117,900.4682954121596,242.5958597538232,900.4682954121596,242.5958597538232,40.03642426505011,18.19721666123524,1.1787404367445358,0.30753525980347635
FAPI,FAPI_0.json,44,22906.0,923.0,0.3378747352097548,779.980310835589,454.59993014930586,779.980310835589,454.59993014930586,80.5402030209887,36.60685366430713,1.6785971004305875,0.4610277557882522
FAPI,FAPI_0.json,45,5222.0,340.0,0.5676607902092007,1832.6618153963998,817.5729605515128,1832.6618153963998,817.5729605515128,40.31966414713318,18.325953869814274,0.6227521071656782,0.15148522719407284
FAPI,FAPI_0.json,46,3976.0,318.0,0.49408537600067315,1188.4841549295775,80.25704225352112,1188.4841549295775,80.25704225352112,34.74239680718131,15.790993667303583,0.9864392978251424,0.24120415662560413
FAPI,FAPI_0.json,47,3232.0,286.0,0.4965341804685907,731.6225247524752,312.68007425742576,731.6225247524752,312.68007425742576,31.21074587411642,14.185799937329632,0.739729523931554,0.23106468120246032
FAPI,FAPI_0.json,48,6132.0,396.0,0.49138470951465696,1239.008806262231,143.45743639921722,1239.008806262231,143.45743639921722,43.629400253791395,19.830283642764275,0.7153365295390584,0.19464236497184573
FAPI,FAPI_0.json,49,4935.0,384.0,0.4205663993453133,595.3673758865248,907.8952380952381,595.3673758865248,907.8952380952381,37.58878135020336,17.08472249502457,1.1830655393128497,0.37325632635527317
FAPI,FAPI_0.json,50,16736.0,624.0,0.540122602836115,354.2081739961759,156.48703393881453,354.2081739961759,156.48703393881453,72.28333634351048,32.853971267060494,0.8308869888908184,0.21344183709033582
FAPI,FAPI_0.json,51,10231.0,508.0,0.49819633019525655,1440.933242107321,686.5727690352849,1440.933242107321,686.5727690352849,56.65327897968618,25.749851818378,0.6628750987495823,0.17643490304546502
FAPI,FAPI_0.json,52,5157.0,338.0,0.5672488118260062,1238.1233275159977,263.87473337211554,1238.1233275159977,263.87473337211554,40.39530303725564,18.36033299574374,0.37137144647330983,0.09920634768674484
FAPI,FAPI_0.json,53,13594.0,614.0,0.45312746589247255,552.0537001618361,524.9252611446226,552.0537001618361,524.9252611446226,65.7445181532209,29.881970307898992,0.7668934513201797,0.18279186011724094
FAPI,FAPI_0.json,54,6573.0,489.0,0.34542660012371496,447.7725543891678,505.85105735584966,447.7725543891678,505.85105735584966,44.92120246315288,20.4174291013994,1.0587681179838042,0.28388343225310714
