group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01
FAPI-TEMPO,FAPI_TEMPO_1025,1025,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1025.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1025_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1025_heatmap_norm01.png,19.0,207.0,385,0.9598551155088144,0.27695564302329395,1.641371899673299,0.4735998199826332,2.054312179780644,0.5927491988414664
FAPI-TEMPO,FAPI_TEMPO_1026,1026,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1026.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1026_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1026_heatmap_norm01.png,18.0,221.0,364,0.7003268240078281,0.20207160719952227,1.76406281993166,0.5090009364264012,1.4805887042267663,0.42720759623683435
FAPI-TEMPO,FAPI_TEMPO_1027,1027,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1027.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1027_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1027_heatmap_norm01.png,19.0,219.0,323,0.6938537037955513,0.20020385951365632,1.8049675775508336,0.5208035546195906,1.8913187591243728,0.5457192389058001
FAPI-TEMPO,FAPI_TEMPO_1028,1028,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1028.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1028_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1028_heatmap_norm01.png,18.0,210.0,330,0.6823813567156276,0.19689363986574374,1.8614618219099544,0.5371043478547252,2.004115765145592,0.5782655751485871
FAPI-TEMPO,FAPI_TEMPO_1029,1029,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1029.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1029_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1029_heatmap_norm01.png,18.0,211.0,325,0.7968673157319621,0.22992730493060032,2.014286539410389,0.581200240267352,2.1006789212792603,0.6061278124459132
FAPI-TEMPO,FAPI_TEMPO_103,103,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_103.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_103_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_103_heatmap_norm01.png,17.0,221.0,334,0.8543111163033049,0.2465020821734185,1.8576328467975745,0.5359995391734617,2.065909788892989,0.5960955614719761
FAPI-TEMPO,FAPI_TEMPO_1030,1030,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1030.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1030_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1030_heatmap_norm01.png,19.0,219.0,302,0.6916028734175372,0.19955440714880773,1.7125371760566277,0.49413377824697724,1.7367697882180022,0.5011258321255775
FAPI-TEMPO,FAPI_TEMPO_1031,1031,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1031.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1031_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1031_heatmap_norm01.png,19.0,221.0,357,0.6931471805599453,0.19999999999999998,1.7256164497293331,0.4979076589001856,2.02003095444132,0.5828577280829383
FAPI-TEMPO,FAPI_TEMPO_1032,1032,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1032.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1032_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1032_heatmap_norm01.png,18.0,215.0,327,0.889344327458387,0.25661053017338903,1.805048366947065,0.5208268655118505,2.065211456886792,0.5958940654475292
FAPI-TEMPO,FAPI_TEMPO_1033,1033,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1033.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1033_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1033_heatmap_norm01.png,18.0,221.0,356,0.7978225344253194,0.2302029227849745,1.9594142523196645,0.5653674449737472,1.946720737163333,0.5617048707002495
FAPI-TEMPO,FAPI_TEMPO_1034,1034,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1034.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1034_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1034_heatmap_norm01.png,19.0,220.0,315,0.716584430077524,0.20676256073021762,1.869435249621787,0.5394049927784746,2.1816628285685975,0.6294948287335409
FAPI-TEMPO,FAPI_TEMPO_1035,1035,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1035.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1035_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1035_heatmap_norm01.png,19.0,200.0,344,1.0813804543402457,0.31202044375818533,1.8151390518373627,0.5237384217219316,1.8047559407094869,0.5207424891352945
FAPI-TEMPO,FAPI_TEMPO_1036,1036,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1036.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1036_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1036_heatmap_norm01.png,18.0,212.0,408,0.9319347419201363,0.2688995261200633,2.0465175384536973,0.5905001407638875,2.060581953872621,0.5945582732394642
FAPI-TEMPO,FAPI_TEMPO_1037,1037,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1037.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1037_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1037_heatmap_norm01.png,18.0,221.0,369,1.2029923162985552,0.34711020979029056,2.0573917886946824,0.5936377861430985,1.9561874676604514,0.5644363917285745
FAPI-TEMPO,FAPI_TEMPO_1038,1038,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1038.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1038_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1038_heatmap_norm01.png,18.0,203.0,331,0.6927819059876479,0.19989460403719672,1.973357037200764,0.569390482294576,2.022803614865191,0.5836577487716559
FAPI-TEMPO,FAPI_TEMPO_1039,1039,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1039.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1039_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1039_heatmap_norm01.png,19.0,212.0,215,0.927946820654712,0.26774885527344666,2.1719538330481587,0.6266934047956708,2.1627227156502618,0.6240298673373089
FAPI-TEMPO,FAPI_TEMPO_104,104,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_104.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_104_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_104_heatmap_norm01.png,18.0,221.0,345,0.6917614988524178,0.1996001767744599,1.6738686475809141,0.48297639939290016,2.1303263028667105,0.6146822385242247
FAPI-TEMPO,FAPI_TEMPO_1040,1040,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1040.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1040_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1040_heatmap_norm01.png,19.0,212.0,321,0.6901856760188042,0.19914549041698512,1.6274015052352155,0.469568816227616,1.9564947040167637,0.564525041402101
