label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI,FAPI_8.json,52,4498.0,345.0,0.4748879229018068,1867.0918185860385,485.9957759004002,1867.0918185860385,485.9957759004002,37.39730030624352,16.99769119521645,0.6221254556762901,0.1812107283822945,FAPI_8_52,929.3388,13.8568,129.0485,7.6589,0.298741,0.083892,2,49.3802,7.1587,5.490595,0.021211,0.261761,0.03272
FAPI,FAPI_8.json,53,14628.0,596.0,0.5174903983684462,303.2357806945584,402.1469100355483,303.2357806945584,402.1469100355483,67.83232946508949,30.830915062263983,0.6937944767137731,0.1786290682183915,FAPI_8_53,3022.314,24.9889,228.3064,10.187,0.27136,0.065302,1,21.281,0.0,5.580287,0.011751,0.206061,0.025758
FAPI,FAPI_8.json,54,3505.0,300.0,0.48939032225921,1297.1372325249642,884.0716119828816,1297.1372325249642,884.0716119828816,32.94416317831477,14.973666756804006,0.6759981272127696,0.158000372403689,FAPI_8_54,724.1736,12.232,109.737,7.0626,0.244305,0.098106,1,32.6446,0.0,5.434777,0.023934,0.217528,0.027191
FAPI,FAPI_8.json,55,13866.0,598.0,0.4872576787136169,1366.1027693639116,159.80340400980816,1366.1027693639116,159.80340400980816,66.43088926067455,30.193937322477,0.4915996429406403,0.1298717452519441,FAPI_8_55,2864.876,24.3293,217.4998,9.943,0.238977,0.06988,0,0.0,0.0,5.70596,0.012097,0.16947,0.021184
FAPI,FAPI_8.json,56,6044.0,382.0,0.5204842520297336,559.2253474520186,803.1178027796161,559.2253474520186,803.1178027796161,43.43683527651851,19.742759677347124,0.5715439293693625,0.1591157452983641,FAPI_8_56,1248.7603,16.0626,140.6193,7.9949,0.206405,0.090815,0,0.0,0.0,5.690191,0.018296,0.368263,0.046033
FAPI,FAPI_8.json,57,5368.0,366.0,0.5035704071327901,637.2214977645306,101.1941132637854,637.2214977645306,101.1941132637854,40.88788214365525,18.58421834231242,0.7108287671557288,0.1772495184082379,FAPI_8_57,1109.0909,15.1377,137.3406,7.9011,0.261111,0.085612,0,0.0,0.0,5.706431,0.019445,0.217992,0.027249
FAPI,FAPI_8.json,58,15662.0,609.0,0.5306675094224114,1612.8353339292555,376.4922742944707,1612.8353339292555,376.4922742944707,70.73001239968512,32.14795985695688,0.3729454548326197,0.0801724736218812,FAPI_8_58,3235.9504,25.857,224.5519,10.1029,0.193549,0.072852,0,0.0,0.0,5.548155,0.01136,0.122768,0.015346
FAPI,FAPI_8.json,59,1728.0,192.0,0.5890486225480862,1433.5497685185185,297.80960648148147,1433.5497685185185,297.80960648148147,22.85573327365217,10.388308595658534,0.6134082779399703,0.1724481261413174,FAPI_8_59,357.0248,8.5887,73.1606,5.7667,0.161788,0.133669,0,0.0,0.0,5.549741,0.034227,0.270202,0.033775
FAPI,FAPI_8.json,60,2495.0,230.0,0.5926860998643882,1160.3831663326653,495.8725450901804,1160.3831663326653,495.8725450901804,27.64750044314624,12.566245985776469,0.5011468832976602,0.1499212132071356,FAPI_8_60,515.4959,10.3202,87.5044,6.3067,0.15399,0.12312,0,0.0,0.0,5.578473,0.028454,0.489379,0.061172
FAPI,FAPI_8.json,61,6024.0,403.0,0.4661060444981476,1189.9913678618857,700.0252324037184,1189.9913678618857,700.0252324037184,43.22138383546794,19.64483343581224,0.6643300643026958,0.1938574309574848,FAPI_8_61,1244.6281,16.036,147.6904,8.1934,0.282957,0.080093,0,0.0,0.0,5.679202,0.018353,0.254085,0.031761
FAPI,FAPI_8.json,62,3461.0,312.0,0.4467887974225129,1541.4094192429934,945.7006645478184,1541.4094192429934,945.7006645478184,32.46320775542941,14.75506456654095,0.91563211010273,0.2364289924900571,FAPI_8_62,715.0826,12.155,116.7891,7.286,0.341188,0.082961,0,0.0,0.0,6.003088,0.024292,0.537563,0.067195
FAPI,FAPI_8.json,63,4653.0,348.0,0.4828190849898701,855.3127014829142,215.34278959810877,855.3127014829142,215.34278959810877,38.23080280223846,17.376531858081055,0.5609548553086157,0.1162202683867825,FAPI_8_63,961.3636,14.0936,125.431,7.5508,0.23213,0.093132,0,0.0,0.0,5.600873,0.020846,0.209766,0.026221
FAPI,FAPI_8.json,64,6174.0,378.0,0.5429913228426803,1334.231778425656,630.7324263038548,1334.231778425656,630.7324263038548,43.49404915398082,19.768764330442977,0.6309785942391343,0.2102030668584019,FAPI_8_64,1275.6198,16.2345,144.1265,8.0939,0.228309,0.087229,1,52.4793,0.0,5.611891,0.018101,0.32424,0.04053
FAPI,FAPI_8.json,65,4930.0,368.0,0.4574684481981829,352.1565922920893,58.58539553752536,352.1565922920893,58.58539553752536,39.28092091578868,17.853827899946673,0.7107573212599969,0.1709722957746694,FAPI_8_65,1018.595,14.507,136.1195,7.8659,0.309171,0.080445,1,19.8347,0.0,5.546553,0.020249,0.252568,0.031571
FAPI,FAPI_8.json,66,3733.0,280.0,0.5983451722372805,1842.1200107152424,165.81757299758908,1842.1200107152424,165.81757299758908,34.20717933028037,15.547728476497117,0.4918545484484977,0.1087919370404482,FAPI_8_66,771.281,12.6236,110.7642,7.0956,0.210006,0.102037,0,0.0,0.0,5.608994,0.02332,0.142548,0.017818
FAPI,FAPI_8.json,67,2751.0,243.0,0.5854474345052767,1474.4881861141405,437.0912395492548,1474.4881861141405,437.0912395492548,28.958950955347674,13.16232192285385,0.7463554315431189,0.2000840113930622,FAPI_8_67,568.3884,10.8368,95.7319,6.5966,0.220633,0.10843,0,0.0,0.0,5.367592,0.027018,0.221559,0.027695
FAPI,FAPI_8.json,68,3594.0,302.0,0.4951924914258899,698.2415136338342,119.81023928770172,698.2415136338342,119.81023928770172,32.93234193870956,14.968293807989289,1.0007018240718588,0.2556792972045082,FAPI_8_68,742.562,12.3864,117.0365,7.2937,0.31876,0.085667,1,23.1405,0.0,5.735997,0.023773,0.331504,0.041438
FAPI,FAPI_8.json,69,5316.0,358.0,0.5212292545951543,775.9307750188111,792.5733634311513,775.9307750188111,792.5733634311513,40.48632073977538,18.401702046131327,0.9313095533133638,0.2147323314736817,FAPI_8_69,1098.3471,15.0642,139.2958,7.9572,0.288666,0.081852,0,0.0,0.0,5.563428,0.019483,0.240772,0.030097
FAPI,FAPI_8.json,70,9354.0,600.0,0.3265161964630991,1272.9731665597606,426.99262347658754,1272.9731665597606,426.99262347658754,54.22883137050073,24.647900302026564,1.345154839478477,0.3284061230557891,FAPI_8_70,1932.6446,19.9827,222.9354,10.0665,0.511343,0.044418,1,37.6033,0.0,5.607952,0.014702,0.557306,0.069663
FAPI,FAPI_8.json,71,5061.0,344.0,0.5374391704914123,1813.424422050978,345.9565303299743,1813.424422050978,345.9565303299743,39.83784065315777,18.106957126890908,0.5379655755256169,0.1416367822830075,FAPI_8_71,1045.6612,14.6985,130.5358,7.7029,0.228845,0.091655,0,0.0,0.0,5.504844,0.020014,0.466351,0.058294
FAPI,FAPI_8.json,72,2114.0,206.0,0.6260087538588767,1030.131977294229,709.0316934720909,1030.131977294229,709.0316934720909,25.48613441135448,11.583869395290517,0.4218676080545447,0.1197613322988096,FAPI_8_72,436.7769,9.4996,79.258,6.0022,0.126257,0.133694,0,0.0,0.0,5.457453,0.030817,0.28241,0.035301
FAPI,FAPI_8.json,73,12211.0,575.0,0.4641147873631451,1251.369912374089,581.2913766276308,1251.369912374089,581.2913766276308,62.45202854889431,28.38547935535661,0.6418129366580132,0.1628112078673266,FAPI_8_73,2522.9339,22.8313,221.3457,10.0305,0.352897,0.05894,1,26.6529,0.0,5.672615,0.012886,0.184781,0.023098
FAPI,FAPI_8.json,74,3465.0,261.0,0.6391931148802064,1169.5180375180375,93.25772005772006,1169.5180375180375,93.25772005772006,32.93483476621314,14.969426839298018,0.3380193088292144,0.0983662351984443,FAPI_8_74,715.9091,12.162,104.7125,6.899,0.179515,0.109011,0,0.0,0.0,5.591288,0.024135,0.250373,0.031297
FAPI,FAPI_8.json,75,2469.0,242.0,0.52978568825307,1479.4058323207776,326.56217091940056,1479.4058323207776,326.56217091940056,27.31644620638609,12.415776362588783,0.8567412504904304,0.2235684803071637,FAPI_8_75,510.124,10.2663,91.8939,6.463,0.240876,0.107867,0,0.0,0.0,5.341419,0.028507,0.364445,0.045556
FAPI,FAPI_8.json,76,2712.0,257.0,0.5159805160735526,484.0619469026549,768.3816371681415,484.0619469026549,768.3816371681415,29.04432870741529,13.201127522528244,0.5217006599580998,0.13503693541327,FAPI_8_76,560.3306,10.7597,94.1075,6.5403,0.20493,0.111562,0,0.0,0.0,5.857264,0.027382,0.246847,0.030856
FAPI,FAPI_8.json,77,4051.0,321.0,0.4940399196316903,1750.7022957294496,405.75685016045423,1750.7022957294496,405.75685016045423,35.44700711032941,16.111250697832595,0.7876835724462127,0.1814698459361526,FAPI_8_77,836.9835,13.1503,120.5358,7.402,0.276073,0.089636,0,0.0,0.0,5.472564,0.022315,0.313055,0.039132
FAPI,FAPI_8.json,78,2711.0,260.0,0.503956075969345,1572.217263002582,837.7849502028772,1572.217263002582,837.7849502028772,28.64616815035663,13.020156967445994,0.7085326234641621,0.2121728766552975,FAPI_8_78,560.124,10.7577,94.7504,6.5626,0.215971,0.109647,1,22.1074,0.0,5.688263,0.027373,0.743024,0.092878
FAPI,FAPI_8.json,79,1921.0,251.0,0.3831684885983392,1723.289432587194,725.3893805309734,1723.289432587194,725.3893805309734,24.548045532336108,11.15749249244871,0.8356241082851912,0.198871612963342,FAPI_8_79,396.9008,9.0556,93.5104,6.5196,0.42961,0.080593,0,0.0,0.0,5.705271,0.03246,0.299561,0.037445
FAPI,FAPI_8.json,80,13695.0,606.0,0.468626293619495,471.2895217232567,466.98006571741513,471.2895217232567,466.98006571741513,65.77226305713685,29.89458082537332,0.6592220891638031,0.1742495952750566,FAPI_8_80,2829.5455,24.1789,225.3964,10.1219,0.300106,0.063144,3,58.4711,2.3857,5.540075,0.012135,0.237366,0.029671
FAPI,FAPI_8.json,81,2746.0,272.0,0.4664150857892286,1701.6427530954115,436.03241077931534,1701.6427530954115,436.03241077931534,28.847724298671785,13.1117675687328,0.9189546207175974,0.2411362032022162,FAPI_8_81,567.3554,10.8269,103.9326,6.8733,0.339974,0.088202,0,0.0,0.0,5.647339,0.027191,0.44001,0.055001
FAPI,FAPI_8.json,82,5266.0,366.0,0.4940018189197602,1802.2018609950624,452.8270034181542,1802.2018609950624,452.8270034181542,40.320032981793055,18.326121511264308,0.660291235401289,0.1938133708612173,FAPI_8_82,1088.0165,14.9932,132.2815,7.7542,0.218647,0.092235,2,34.7107,0.5844,5.601245,0.019632,0.370141,0.046268
FAPI,FAPI_8.json,83,5751.0,416.0,0.4176058466807253,829.8353329855677,750.5538167275256,829.8353329855677,750.5538167275256,41.52886255115348,18.875554533417635,1.0242126454187772,0.2880615237167567,FAPI_8_83,1188.2231,15.6685,148.3521,8.2117,0.321546,0.07564,1,42.7686,0.0,5.669591,0.018763,0.498767,0.062346
FAPI,FAPI_8.json,84,2052.0,216.0,0.5526875964648711,198.30653021442492,132.39814814814815,198.30653021442492,132.39814814814815,24.87305116321328,11.305212924274487,0.6661390483042976,0.1941944963004057,FAPI_8_84,423.9669,9.3593,81.407,6.083,0.19607,0.121449,0,0.0,0.0,5.341201,0.031264,0.415854,0.051982
FAPI,FAPI_8.json,85,3710.0,314.0,0.4728511803650506,1693.6927223719676,140.07196765498654,1693.6927223719676,140.07196765498654,33.53985070232036,15.244416583635749,0.9032598421455232,0.2284561827038719,FAPI_8_85,766.5289,12.5847,116.8994,7.2895,0.295122,0.088666,1,22.9339,0.0,5.482961,0.023301,0.278294,0.034787
FAPI,FAPI_8.json,86,1896.0,246.0,0.3937113934302497,1216.386075949367,649.8370253164557,1216.386075949367,649.8370253164557,22.808674324773435,10.366919525472667,1.4229820147445873,0.4188581549233005,FAPI_8_86,391.7355,8.9965,91.8482,6.4614,0.416472,0.083187,0,0.0,0.0,5.653301,0.032653,0.418456,0.052307
FAPI,FAPI_8.json,87,3047.0,278.0,0.4954418930432224,1368.5923859533968,767.9721037085658,1368.5923859533968,767.9721037085658,29.9211881719742,13.599674644329086,0.966112535400233,0.2918057482192229,FAPI_8_87,629.5455,11.4049,106.1274,6.9455,0.297604,0.092813,0,0.0,0.0,5.573597,0.025749,0.365383,0.045673
