label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI-TEMPO,FAPI_TEMPO_38.json,28,9528.0,498.0,0.4827840648280439,869.833543240974,108.09991603694374,869.833543240974,108.09991603694374,54.84249985009658,24.92682277041305,0.5826413122402829,0.1668014908992701,FAPI_TEMPO_38_28,1968.595,20.1677,185.6249,9.1856,0.28205,0.071435,0,0.0,0.0,5.735974,0.014598,0.225539,0.028192
FAPI-TEMPO,FAPI_TEMPO_38.json,29,5795.0,358.0,0.5681947950298946,952.0579810181192,415.2039689387403,952.0579810181192,415.2039689387403,42.41410597704533,19.277912304237606,0.5541809908159996,0.1643502239303574,FAPI_TEMPO_38_29,1197.314,15.7283,136.3669,7.8731,0.190904,0.094028,0,0.0,0.0,5.534412,0.018668,0.198638,0.02483
FAPI-TEMPO,FAPI_TEMPO_38.json,30,8672.0,468.0,0.4975507979386859,1123.1064345018451,925.7536900369004,1123.1064345018451,925.7536900369004,51.73423361714436,23.51406438551381,0.8270559351727735,0.2392245009718639,FAPI_TEMPO_38_30,1791.7355,19.2404,184.503,9.1578,0.338581,0.066042,0,0.0,0.0,5.719509,0.015291,0.301542,0.037693
FAPI-TEMPO,FAPI_TEMPO_38.json,31,16654.0,629.0,0.5289652392232799,1006.049717785517,268.8234057883992,1006.049717785517,268.8234057883992,72.9533365751335,33.15849744795036,0.4847119526068483,0.1230391493306921,FAPI_TEMPO_38_31,3440.9091,26.6633,240.5658,10.457,0.252837,0.065213,0,0.0,0.0,5.788135,0.011042,0.215039,0.02688
FAPI-TEMPO,FAPI_TEMPO_38.json,32,4320.0,304.0,0.5874169089122189,77.95370370370371,926.8337962962964,77.95370370370371,926.8337962962964,36.5035355235549,16.59146032686779,0.6428387921143995,0.1903889933454487,FAPI_TEMPO_38_32,892.562,13.5799,121.407,7.4287,0.239042,0.09384,0,0.0,0.0,5.693909,0.021661,0.21718,0.027148
FAPI-TEMPO,FAPI_TEMPO_38.json,33,34599.0,870.0,0.5744270800452015,831.7331714789444,771.1853232752392,831.7331714789444,771.1853232752392,104.28527184899194,47.39937997081637,0.6533553942863314,0.1901761301135402,FAPI_TEMPO_38_33,7148.5537,38.4314,341.6687,12.4621,0.230484,0.056287,0,0.0,0.0,5.708003,0.007658,0.29694,0.037117
FAPI-TEMPO,FAPI_TEMPO_38.json,34,6650.0,358.0,0.6520268139687314,1089.0034586466163,160.5796992481203,1089.0034586466163,160.5796992481203,45.683101377321904,20.763724752662057,0.4957502319410185,0.1293231509135352,FAPI_TEMPO_38_34,1373.9669,16.8487,143.5561,8.0779,0.162195,0.094845,0,0.0,0.0,5.692716,0.017453,0.702461,0.087808
FAPI-TEMPO,FAPI_TEMPO_38.json,35,4743.0,364.0,0.4498422278703172,1059.853257432005,415.1197554290533,1059.853257432005,415.1197554290533,37.16584910891516,16.892492799965073,1.0232148509494357,0.3356733802765048,FAPI_TEMPO_38_35,979.9587,14.2292,135.6327,7.8518,0.330595,0.078111,0,0.0,0.0,5.689395,0.020666,0.481028,0.060129
FAPI-TEMPO,FAPI_TEMPO_38.json,36,6119.0,352.0,0.6205903101535365,79.07844419022716,851.6470011439777,79.07844419022716,851.6470011439777,43.74550494164511,19.88305514269324,0.4787841237744185,0.1440785297396853,FAPI_TEMPO_38_36,1264.2562,16.162,140.03,7.9781,0.18978,0.092902,0,0.0,0.0,5.712235,0.018217,0.560656,0.070082
FAPI-TEMPO,FAPI_TEMPO_38.json,37,30903.0,994.0,0.3930408923313943,1369.5779050577614,523.7263696081286,1369.5779050577614,523.7263696081286,99.33866330381342,45.15106461580327,0.8992169062697742,0.2101620157555315,FAPI_TEMPO_38_37,6384.9174,36.3208,373.2695,13.0257,0.424136,0.040324,0,0.0,0.0,5.757485,0.008105,0.926974,0.115872
FAPI-TEMPO,FAPI_TEMPO_38.json,38,4222.0,317.0,0.5279703921207737,1611.339175746092,188.26196115585032,1611.339175746092,188.26196115585032,36.015533211768584,16.369655209108775,0.7157618258880324,0.2027268734104632,FAPI_TEMPO_38_38,872.314,13.425,121.9128,7.4441,0.262462,0.090782,0,0.0,0.0,5.224597,0.02174,0.319477,0.039935
FAPI-TEMPO,FAPI_TEMPO_38.json,39,82877.0,1459.0,0.4892527801987452,1342.189678680454,183.469997707446,1342.189678680454,183.469997707446,163.3268088001512,74.2347345169631,0.5996846195622045,0.1471445592742658,FAPI_TEMPO_38_39,17123.3471,59.4801,556.8635,15.9097,0.306093,0.039723,0,0.0,0.0,5.687271,0.004946,0.256142,0.032018
FAPI-TEMPO,FAPI_TEMPO_38.json,40,12905.0,699.0,0.3319047909814043,974.0069740410694,812.801084850833,974.0069740410694,812.801084850833,64.46953253039344,29.302468265834644,1.3991603242428945,0.3298299971062886,FAPI_TEMPO_38_40,2666.3223,23.4711,264.1297,10.9571,0.519727,0.040071,0,0.0,0.0,5.701046,0.012531,0.33397,0.041746
FAPI-TEMPO,FAPI_TEMPO_38.json,41,3721.0,281.0,0.5921843068860637,1790.6296694436978,144.72803009943564,1790.6296694436978,144.72803009943564,34.05181923188718,15.477114743555944,0.4942933520585949,0.1319566564236787,FAPI_TEMPO_38_41,768.8017,12.6033,110.8745,7.0991,0.214112,0.10146,0,0.0,0.0,5.539448,0.023322,0.331797,0.041475
FAPI-TEMPO,FAPI_TEMPO_38.json,42,7149.0,400.0,0.5614811470128358,199.59490837879423,704.2082808784445,199.59490837879423,704.2082808784445,46.86987800097212,21.303134346438004,0.8093239718384381,0.2271105429689342,FAPI_TEMPO_38_42,1477.0661,17.4694,159.9843,8.5276,0.274805,0.077784,0,0.0,0.0,5.680446,0.016828,0.245026,0.030628
FAPI-TEMPO,FAPI_TEMPO_38.json,43,11446.0,536.0,0.5006497760217862,1394.7646339332518,366.9269613838896,1394.7646339332518,366.9269613838896,59.551679778242246,27.06722289410776,0.9189147176055544,0.2404724006840153,FAPI_TEMPO_38_43,2364.876,22.1045,212.7494,9.8338,0.343429,0.061006,0,0.0,0.0,5.509903,0.01327,0.252348,0.031544
FAPI-TEMPO,FAPI_TEMPO_38.json,44,8287.0,432.0,0.5580070799103785,1128.6134910100157,250.6321950042235,1128.6134910100157,250.6321950042235,51.30591599695806,23.31938694672069,0.4603333352264716,0.1024739351674362,FAPI_TEMPO_38_44,1712.1901,18.8085,164.9442,8.6588,0.209161,0.083484,0,0.0,0.0,5.649995,0.015636,0.529072,0.066134
FAPI-TEMPO,FAPI_TEMPO_38.json,45,3615.0,270.0,0.6231471847861235,598.1538035961272,760.9457814661134,598.1538035961272,760.9457814661134,33.568936845721524,15.257636716627816,0.5855632182523884,0.1405589398289508,FAPI_TEMPO_38_45,746.9008,12.4225,109.4139,7.0522,0.215979,0.101905,0,0.0,0.0,5.932619,0.023757,0.572483,0.07156
FAPI-TEMPO,FAPI_TEMPO_38.json,46,13049.0,592.0,0.4678899120787665,1030.858150049812,899.1844585792014,1030.858150049812,899.1844585792014,64.25492346108166,29.204924896180085,0.647241903384911,0.1696636988253594,FAPI_TEMPO_38_46,2696.0744,23.6017,218.5003,9.9659,0.29036,0.065031,0,0.0,0.0,5.484064,0.012424,0.80484,0.100605
FAPI-TEMPO,FAPI_TEMPO_38.json,47,2798.0,290.0,0.4180821043873599,1259.7137240886348,468.2126518942101,1259.7137240886348,468.2126518942101,28.11349706654157,12.778049154390889,1.4852820425563475,0.3999162772686848,FAPI_TEMPO_38_47,578.0992,10.929,114.7771,7.223,0.448556,0.070184,0,0.0,0.0,5.77683,0.026922,0.69821,0.087276
FAPI-TEMPO,FAPI_TEMPO_38.json,48,8007.0,454.0,0.4881665155018236,1518.1476208317722,78.4377419757712,1518.1476208317722,78.4377419757712,49.71605237634986,22.59676764949042,0.7629081952237314,0.2270496601175048,FAPI_TEMPO_38_48,1654.3388,18.488,170.1514,8.7944,0.281936,0.07466,0,0.0,0.0,5.329565,0.015843,0.635302,0.079413
FAPI-TEMPO,FAPI_TEMPO_38.json,49,2323.0,247.0,0.4784815180900581,1509.7839001291434,621.5148514851485,1509.7839001291434,621.5148514851485,26.127516876303886,11.87538832815361,1.0272716319129591,0.281621579160328,FAPI_TEMPO_38_49,479.9587,9.9582,93.2898,6.5119,0.306981,0.097812,0,0.0,0.0,4.896886,0.029111,0.393751,0.049219
FAPI-TEMPO,FAPI_TEMPO_38.json,50,14281.0,640.0,0.4381355926358968,196.7695539528044,873.7829983894685,196.7695539528044,873.7829983894685,67.55862214404422,30.70651056025717,0.8134593410016272,0.1888375967123244,FAPI_TEMPO_38_50,2950.6198,24.6907,250.4366,10.6693,0.408809,0.050615,0,0.0,0.0,5.759036,0.011918,0.386891,0.048361
FAPI-TEMPO,FAPI_TEMPO_38.json,51,4799.0,374.0,0.4311390987611146,792.1254428005834,129.29547822463013,792.1254428005834,129.29547822463013,37.77561089080644,17.16963960966413,1.0943604252178782,0.3057055981763141,FAPI_TEMPO_38_51,991.5289,14.313,141.2432,8.0126,0.375431,0.071433,0,0.0,0.0,5.937493,0.020608,0.677987,0.084748
FAPI-TEMPO,FAPI_TEMPO_38.json,52,4176.0,334.0,0.4704109477353428,1716.302203065134,122.1307471264368,1716.302203065134,122.1307471264368,34.70517956163744,15.774077813974309,1.144157930684715,0.3452665254348824,FAPI_TEMPO_38_52,862.8099,13.3516,133.1795,7.7805,0.388706,0.072049,0,0.0,0.0,5.694752,0.022045,0.568267,0.071033
FAPI-TEMPO,FAPI_TEMPO_38.json,53,8256.0,506.0,0.4052084698720075,1726.7640503875969,229.63481104651163,1726.7640503875969,229.63481104651163,49.3252113590068,22.41912394620651,1.428761700443692,0.3544965772978504,FAPI_TEMPO_38_53,1705.7851,18.7733,199.3793,9.5198,0.46077,0.051834,0,0.0,0.0,5.451599,0.01564,0.472819,0.059102
