t_ms,X_area_frac,X_JMAK,k_fit,n_fit
194.0,0.11810282753632027,0.07657050982454139,0.0018736833917701427,2.5
195.0,0.11892014924441426,0.07752164069259349,0.0018736833917701427,2.5
196.0,0.11973467388776798,0.0784791251350474,0.0018736833917701427,2.5
197.0,0.12058092642966743,0.0794429600858535,0.0018736833917701427,2.5
198.0,0.12143000471314597,0.08041314222379792,0.0018736833917701427,2.5
199.0,0.12228339232568793,0.08138966797266345,0.0018736833917701427,2.5
200.0,0.12317720403941583,0.08237253350139984,0.0018736833917701427,2.5
201.0,0.12403444595566858,0.08336173472430031,0.0018736833917701427,2.5
202.0,0.12485603202676215,0.08435726730118631,0.0018736833917701427,2.5
203.0,0.12577704323452912,0.08535912663760026,0.0018736833917701427,2.5
204.0,0.12657828152774614,0.08636730788500624,0.0018736833917701427,2.5
205.0,0.1274438909359342,0.08738180594099876,0.0018736833917701427,2.5
206.0,0.1282475179903273,0.0884026154495201,0.0018736833917701427,2.5
207.0,0.1291870116158757,0.08942973080108518,0.0018736833917701427,2.5
208.0,0.13010213002586005,0.09046314613301576,0.0018736833917701427,2.5
209.0,0.13097546198972793,0.09150285532968305,0.0018736833917701427,2.5
210.0,0.13181276670760772,0.09254885202275887,0.0018736833917701427,2.5
211.0,0.132745865853259,0.09360112959147537,0.0018736833917701427,2.5
212.0,0.13350154082968768,0.09465968116289414,0.0018736833917701427,2.5
213.0,0.1344836813179955,0.09572449961218388,0.0018736833917701427,2.5
214.0,0.1353300881685997,0.09679557756290769,0.0018736833917701427,2.5
215.0,0.13626464957292989,0.09787290738731913,0.0018736833917701427,2.5
216.0,0.13717797763128556,0.098956481206667,0.0018736833917701427,2.5
217.0,0.1380178857639591,0.10004629089151129,0.0018736833917701427,2.5
218.0,0.13889431180268486,0.1011423280620466,0.0018736833917701427,2.5
219.0,0.13979011480099474,0.10224458408843595,0.0018736833917701427,2.5
220.0,0.14072715717456827,0.10335305009115492,0.0018736833917701427,2.5
221.0,0.14170904869366302,0.10446771694134382,0.0018736833917701427,2.5
222.0,0.14251074406057826,0.10558857526117127,0.0018736833917701427,2.5
223.0,0.14349607536975598,0.10671561542420693,0.0018736833917701427,2.5
224.0,0.14430991762139112,0.10784882755580372,0.0018736833917701427,2.5
225.0,0.14522653183926196,0.10898820153349131,0.0018736833917701427,2.5
226.0,0.14613089406580648,0.11013372698737822,0.0018736833917701427,2.5
227.0,0.14702933065136645,0.1112853933005652,0.0018736833917701427,2.5
228.0,0.14796087094095964,0.11244318960956845,0.0018736833917701427,2.5
229.0,0.1489363434650365,0.11360710480475267,0.0018736833917701427,2.5
230.0,0.1497853496337432,0.11477712753077529,0.0018736833917701427,2.5
231.0,0.15073546337870164,0.11595324618704039,0.0018736833917701427,2.5
232.0,0.15157892700047318,0.11713544892816374,0.0018736833917701427,2.5
233.0,0.15253260673636537,0.11832372366444743,0.0018736833917701427,2.5
234.0,0.15347974322719424,0.11951805806236637,0.0018736833917701427,2.5
235.0,0.154437462837158,0.120718439545064,0.0018736833917701427,2.5
236.0,0.1553623539692129,0.12192485529285957,0.0018736833917701427,2.5
237.0,0.15625954577837942,0.12313729224376646,0.0018736833917701427,2.5
238.0,0.15723100962501382,0.12435573709402004,0.0018736833917701427,2.5
239.0,0.1581573765413316,0.12558017629861762,0.0018736833917701427,2.5
240.0,0.1590776631224437,0.1268105960718685,0.0018736833917701427,2.5
241.0,0.16002331748889234,0.1280469823879551,0.0018736833917701427,2.5
242.0,0.1609760246670238,0.12928932098150547,0.0018736833917701427,2.5
243.0,0.16195483378357947,0.13053759734817583,0.0018736833917701427,2.5
244.0,0.16295921197607244,0.13179179674524566,0.0018736833917701427,2.5
245.0,0.16383301457173605,0.13305190419222168,0.0018736833917701427,2.5
246.0,0.16478479105313867,0.13431790447145553,0.0018736833917701427,2.5
247.0,0.16573484204719097,0.13558978212877026,0.0018736833917701427,2.5
248.0,0.16671339625851161,0.13686752147409942,0.0018736833917701427,2.5
249.0,0.16770723177856767,0.13815110658213658,0.0018736833917701427,2.5
250.0,0.1686775730992785,0.13944052129299644,0.0018736833917701427,2.5
251.0,0.1696502352281118,0.14073574921288745,0.0018736833917701427,2.5
252.0,0.17062294385113974,0.14203677371479484,0.0018736833917701427,2.5
253.0,0.17157308848384986,0.14334357793917551,0.0018736833917701427,2.5
254.0,0.17259463974607303,0.14465614479466427,0.0018736833917701427,2.5
255.0,0.17353797135359386,0.14597445695879152,0.0018736833917701427,2.5
256.0,0.17452333728956682,0.14729849687871144,0.0018736833917701427,2.5
257.0,0.17551188742760573,0.14862824677194242,0.0018736833917701427,2.5
258.0,0.17657879244367264,0.14996368862711873,0.0018736833917701427,2.5
259.0,0.17752284002927787,0.15130480420475334,0.0018736833917701427,2.5
260.0,0.17855286916650687,0.15265157503801152,0.0018736833917701427,2.5
261.0,0.17951759899556952,0.15400398243349767,0.0018736833917701427,2.5
262.0,0.1804835412501699,0.15536200747205142,0.0018736833917701427,2.5
263.0,0.1815912354606477,0.1567256310095565,0.0018736833917701427,2.5
264.0,0.18249963812560394,0.15809483367776078,0.0018736833917701427,2.5
265.0,0.183505645533202,0.15946959588510712,0.0018736833917701427,2.5
266.0,0.1845349445815212,0.16084989781757675,0.0018736833917701427,2.5
267.0,0.1854844272409423,0.16223571943954262,0.0018736833917701427,2.5
268.0,0.18658578139899298,0.16362704049463606,0.0018736833917701427,2.5
269.0,0.18755652946262352,0.16502384050662233,0.0018736833917701427,2.5
270.0,0.18865005829006468,0.16642609878029058,0.0018736833917701427,2.5
271.0,0.18958938941352568,0.16783379440235247,0.0018736833917701427,2.5
272.0,0.19066752365546616,0.16924690624235372,0.0018736833917701427,2.5
273.0,0.19164633537309564,0.17066541295359705,0.0018736833917701427,2.5
274.0,0.1926778822369029,0.17208929297407527,0.0018736833917701427,2.5
275.0,0.19371058397748947,0.17351852452741767,0.0018736833917701427,2.5
276.0,0.19474645577680308,0.17495308562384593,0.0018736833917701427,2.5
277.0,0.19580303537512447,0.17639295406114186,0.0018736833917701427,2.5
278.0,0.19690340860320793,0.17783810742562778,0.0018736833917701427,2.5
279.0,0.19789561333125794,0.1792885230931558,0.0018736833917701427,2.5
280.0,0.19900050486843016,0.18074417823011069,0.0018736833917701427,2.5
281.0,0.20001927980947679,0.18220504979442254,0.0018736833917701427,2.5
282.0,0.2010498281860686,0.18367111453659068,0.0018736833917701427,2.5
283.0,0.2020965181765643,0.18514234900072046,0.0018736833917701427,2.5
284.0,0.20314417349058414,0.18661872952556846,0.0018736833917701427,2.5
285.0,0.2042170510923733,0.18810023224560157,0.0018736833917701427,2.5
286.0,0.20532252665190326,0.18958683309206525,0.0018736833917701427,2.5
287.0,0.20630950288016933,0.19107850779406377,0.0018736833917701427,2.5
288.0,0.20734106593566112,0.19257523187965186,0.0018736833917701427,2.5
289.0,0.20849404978351296,0.19407698067693613,0.0018736833917701427,2.5
290.0,0.2095621700212719,0.19558372931518864,0.0018736833917701427,2.5
291.0,0.2107153624752446,0.19709545272597107,0.0018736833917701427,2.5
292.0,0.21172105316959083,0.19861212564426933,0.0018736833917701427,2.5
293.0,0.21283207714472874,0.20013372260964046,0.0018736833917701427,2.5
294.0,0.21391781705659388,0.20166021796736833,0.0018736833917701427,2.5
295.0,0.21497667178167867,0.2031915858696317,0.0018736833917701427,2.5
296.0,0.21616282533581196,0.2047278002766827,0.0018736833917701427,2.5
297.0,0.217160622291307,0.20626883495803539,0.0018736833917701427,2.5
298.0,0.21831495011400529,0.2078146634936664,0.0018736833917701427,2.5
299.0,0.21940683811904932,0.2093652592752242,0.0018736833917701427,2.5
300.0,0.22043401444727467,0.21092059550725073,0.0018736833917701427,2.5
301.0,0.22163063821768203,0.2124806452084127,0.0018736833917701427,2.5
302.0,0.22276995147176593,0.2140453812127432,0.0018736833917701427,2.5
303.0,0.22378161865344526,0.21561477617089486,0.0018736833917701427,2.5
304.0,0.22485770240386074,0.21718880255140172,0.0018736833917701427,2.5
