t_ms,X_area_frac,X_JMAK,k_fit,n_fit
208.0,0.09868212469068738,0.04996276514406395,0.00192721463763989,3.25
209.0,0.09944652182781043,0.05072741346306886,0.00192721463763989,3.25
210.0,0.10015246606907037,0.0514997126455774,0.00192721463763989,3.25
211.0,0.10093134831621943,0.05227969243948727,0.00192721463763989,3.25
212.0,0.10167712695940706,0.05306738230387409,0.00192721463763989,3.25
213.0,0.10226659391937595,0.05386281140538074,0.00192721463763989,3.25
214.0,0.1031315149332143,0.05466600861460402,0.00192721463763989,3.25
215.0,0.10391437877728585,0.055477002502481665,0.00192721463763989,3.25
216.0,0.10464086922717931,0.05629582133667721,0.00192721463763989,3.25
217.0,0.10542343967851714,0.05712249307796502,0.00192721463763989,3.25
218.0,0.10616214635237403,0.057957045376614835,0.00192721463763989,3.25
219.0,0.10692686709323136,0.05879950556877733,0.00192721463763989,3.25
220.0,0.1076944164221888,0.059649900672870015,0.00192721463763989,3.25
221.0,0.10846402865008992,0.06050825738596377,0.00192721463763989,3.25
222.0,0.10924302365613833,0.061374602080172314,0.00192721463763989,3.25
223.0,0.11001401038474524,0.062248960799042186,0.00192721463763989,3.25
224.0,0.11086044436242666,0.06313135925394608,0.00192721463763989,3.25
225.0,0.11157536596218538,0.06402182282047908,0.00192721463763989,3.25
226.0,0.11235882088381587,0.06492037653485705,0.00192721463763989,3.25
227.0,0.11314457766408771,0.06582704509032056,0.00192721463763989,3.25
228.0,0.1139355897610181,0.06674185283354128,0.00192721463763989,3.25
229.0,0.11473044008570685,0.06766482376103378,0.00192721463763989,3.25
230.0,0.11552781176459875,0.06859598151557245,0.00192721463763989,3.25
231.0,0.11632721080790952,0.06953534938261396,0.00192721463763989,3.25
232.0,0.1171297478691712,0.07048295028672502,0.00192721463763989,3.25
233.0,0.11793623804650027,0.07143880678801717,0.00192721463763989,3.25
234.0,0.11875074664923903,0.07240294107858902,0.00192721463763989,3.25
235.0,0.11955888269392578,0.07337537497897395,0.00192721463763989,3.25
236.0,0.12037717542410706,0.07435612993459839,0.00192721463763989,3.25
237.0,0.12126668103885142,0.07534522701224555,0.00192721463763989,3.25
238.0,0.12202390259755179,0.07634268689653068,0.00192721463763989,3.25
239.0,0.12285302657030206,0.07734852988638297,0.00192721463763989,3.25
240.0,0.12368448943345967,0.07836277589154006,0.00192721463763989,3.25
241.0,0.12451901974459897,0.07938544442904993,0.00192721463763989,3.25
242.0,0.1253568765264499,0.08041655461978614,0.00192721463763989,3.25
243.0,0.12619982552548326,0.08145612518497247,0.00192721463763989,3.25
244.0,0.12704773478484013,0.08250417444272062,0.00192721463763989,3.25
245.0,0.12789935969780797,0.08356072030457928,0.00192721463763989,3.25
246.0,0.1287556530088789,0.08462578027209677,0.00192721463763989,3.25
247.0,0.12966218105842536,0.08569937143339634,0.00192721463763989,3.25
248.0,0.13052037563293292,0.08678151045976579,0.00192721463763989,3.25
249.0,0.13138086863906298,0.0878722136022615,0.00192721463763989,3.25
250.0,0.13220821578575745,0.08897149668832682,0.00192721463763989,3.25
251.0,0.13307801930319227,0.09007937511842645,0.00192721463763989,3.25
252.0,0.13395436077392517,0.0911958638626964,0.00192721463763989,3.25
253.0,0.13483640094434793,0.09232097745761059,0.00192721463763989,3.25
254.0,0.1357524974299521,0.09345473000266469,0.00192721463763989,3.25
255.0,0.1366137951533263,0.09459713515707713,0.00192721463763989,3.25
256.0,0.13770600774425057,0.09574820613650814,0.00192721463763989,3.25
257.0,0.13840558733289213,0.09690795570979827,0.00192721463763989,3.25
258.0,0.13930549607903467,0.09807639619572517,0.00192721463763989,3.25
259.0,0.14020817292473234,0.09925353945978044,0.00192721463763989,3.25
260.0,0.14111683893491533,0.10043939691096693,0.00192721463763989,3.25
261.0,0.14203024181703272,0.10163397949861719,0.00192721463763989,3.25
262.0,0.14294982032007464,0.10283729770923233,0.00192721463763989,3.25
263.0,0.14387313713497785,0.10404936156334366,0.00192721463763989,3.25
264.0,0.14480067956384926,0.10527018061239701,0.00192721463763989,3.25
265.0,0.14573188484362487,0.10649976393565974,0.00192721463763989,3.25
266.0,0.14666719456064645,0.10773812013715123,0.00192721463763989,3.25
267.0,0.1476063156549006,0.10898525734259823,0.00192721463763989,3.25
268.0,0.1485471967062929,0.11024118319641474,0.00192721463763989,3.25
269.0,0.14949135072697745,0.11150590485870693,0.00192721463763989,3.25
270.0,0.15043866173066828,0.11277942900230431,0.00192721463763989,3.25
271.0,0.151390019078646,0.11406176180981797,0.00192721463763989,3.25
272.0,0.15235034230627328,0.1153529089707247,0.00192721463763989,3.25
273.0,0.15336539811806899,0.11665287567847982,0.00192721463763989,3.25
274.0,0.15426372494568955,0.11796166662765806,0.00192721463763989,3.25
275.0,0.15522907800544872,0.11927928601112259,0.00192721463763989,3.25
276.0,0.15617390402126177,0.12060573751722481,0.00192721463763989,3.25
277.0,0.1571707981307801,0.12194102432703235,0.00192721463763989,3.25
278.0,0.1581481102550063,0.12328514911158972,0.00192721463763989,3.25
279.0,0.1591301115390803,0.12463811402920821,0.00192721463763989,3.25
280.0,0.1601595159457753,0.12599992072278843,0.00192721463763989,3.25
281.0,0.16110445635081713,0.1273705703171758,0.00192721463763989,3.25
282.0,0.16210045414520116,0.12875006341654727,0.00192721463763989,3.25
283.0,0.16309811038376906,0.13013840010183364,0.00192721463763989,3.25
284.0,0.16410073007677517,0.13153557992817366,0.00192721463763989,3.25
285.0,0.16510932885284235,0.1329416019224049,0.00192721463763989,3.25
286.0,0.1661220340624771,0.13435646458058847,0.00192721463763989,3.25
287.0,0.16713818073094877,0.1357801658655704,0.00192721463763989,3.25
288.0,0.1681847269857506,0.13721270320457868,0.00192721463763989,3.25
289.0,0.16918117435176297,0.13865407348685788,0.00192721463763989,3.25
290.0,0.17021165640613925,0.14010427306134132,0.00192721463763989,3.25
291.0,0.1712475852244173,0.14156329773436116,0.00192721463763989,3.25
292.0,0.1722900817411854,0.14303114276739715,0.00192721463763989,3.25
293.0,0.17333824681318702,0.1445078028748651,0.00192721463763989,3.25
294.0,0.17438987909657433,0.14599327222194491,0.00192721463763989,3.25
295.0,0.17544549064784218,0.1474875444224497,0.00192721463763989,3.25
296.0,0.1765064032315337,0.1489906125367344,0.00192721463763989,3.25
297.0,0.17757450237341685,0.15050246906964826,0.00192721463763989,3.25
298.0,0.17865036940234671,0.15202310596852775,0.00192721463763989,3.25
299.0,0.17973413687407863,0.15355251462123298,0.00192721463763989,3.25
300.0,0.18082711158074366,0.15509068585422747,0.00192721463763989,3.25
301.0,0.181927911768334,0.15663760993070164,0.00192721463763989,3.25
302.0,0.1830365037988305,0.15819327654874082,0.00192721463763989,3.25
303.0,0.18414925276983152,0.15975767483953884,0.00192721463763989,3.25
304.0,0.1852683282836711,0.16133079336565603,0.00192721463763989,3.25
305.0,0.18639520192883005,0.1629126201193246,0.00192721463763989,3.25
306.0,0.18762317429151404,0.16450314252080023,0.00192721463763989,3.25
307.0,0.18860913977124033,0.1661023474167609,0.00192721463763989,3.25
308.0,0.18988084588432394,0.16771022107875377,0.00192721463763989,3.25
309.0,0.1909544791957236,0.16932674920169022,0.00192721463763989,3.25
310.0,0.19210686074053676,0.17095191690238976,0.00192721463763989,3.25
311.0,0.19326570198284054,0.1725857087181739,0.00192721463763989,3.25
312.0,0.1944347480219898,0.17422810860550964,0.00192721463763989,3.25
313.0,0.19560823996919768,0.1758790999387032,0.00192721463763989,3.25
314.0,0.19678727170889482,0.17753866550864605,0.00192721463763989,3.25
315.0,0.19797597991892113,0.17920678752161068,0.00192721463763989,3.25
316.0,0.1991814064574232,0.18088344759810004,0.00192721463763989,3.25
317.0,0.20037577849805516,0.18256862677174923,0.00192721463763989,3.25
318.0,0.2016528158878349,0.18426230548828004,0.00192721463763989,3.25
319.0,0.20279945707638028,0.18596446360450958,0.00192721463763989,3.25
320.0,0.20402054781899978,0.18767508038741254,0.00192721463763989,3.25
321.0,0.20524656668116475,0.18939413451323894,0.00192721463763989,3.25
322.0,0.20647561635880973,0.19112160406668632,0.00192721463763989,3.25
323.0,0.20774495483445454,0.19285746654012825,0.00192721463763989,3.25
324.0,0.20894422035845206,0.19460169883289835,0.00192721463763989,3.25
325.0,0.21018597802061884,0.19635427725063148,0.00192721463763989,3.25
326.0,0.21143208127568314,0.1981151775046619,0.00192721463763989,3.25
327.0,0.21268217687453456,0.19988437471147913,0.00192721463763989,3.25
328.0,0.21393810512625647,0.2016618433922417,0.00192721463763989,3.25
329.0,0.21520087417326583,0.20344755747234944,0.00192721463763989,3.25
330.0,0.21647057165408162,0.20524149028107508,0.00192721463763989,3.25
331.0,0.21780486018738263,0.20704361455125486,0.00192721463763989,3.25
332.0,0.2190249545991547,0.20885390241903934,0.00192721463763989,3.25
333.0,0.22031070160743213,0.21067232542370462,0.00192721463763989,3.25
334.0,0.22159989067344296,0.21249885450752382,0.00192721463763989,3.25
335.0,0.2227885752270582,0.21433346001569975,0.00192721463763989,3.25
336.0,0.2241926542990417,0.21617611169636064,0.00192721463763989,3.25
337.0,0.22549950951376002,0.21802677870061526,0.00192721463763989,3.25
338.0,0.22681142899715825,0.219885429582673,0.00192721463763989,3.25
339.0,0.22813193126608755,0.22175203230002516,0.00192721463763989,3.25
340.0,0.22946132914414546,0.22362655421369004,0.00192721463763989,3.25
341.0,0.2307973326508042,0.22550896208852134,0.00192721463763989,3.25
342.0,0.23213780452413982,0.2273992220935811,0.00192721463763989,3.25
343.0,0.23356813602392493,0.22929729980257618,0.00192721463763989,3.25
344.0,0.234831831563797,0.23120316019435994,0.00192721463763989,3.25
345.0,0.2361862284791288,0.23311676765349887,0.00192721463763989,3.25
346.0,0.2375445337929237,0.23503808597090425,0.00192721463763989,3.25
347.0,0.23891034258096708,0.23696707834453012,0.00192721463763989,3.25
348.0,0.24028226510396464,0.238903707380137,0.00192721463763989,3.25
349.0,0.24165826072195884,0.24084793509212166,0.00192721463763989,3.25
350.0,0.24303807290762172,0.24279972290441376,0.00192721463763989,3.25
351.0,0.24443652654491876,0.2447590316514402,0.00192721463763989,3.25
