file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_35_49,5421.9008,33.4698,326.7499,12.187,0.361839,0.047766,0,0.0,0.0,5.48066,0.008767,0.52115,0.065144
FAPI_35_50,984.2975,14.2607,127.7707,7.6209,0.242341,0.091045,0,0.0,0.0,5.482424,0.0206,0.576355,0.072044
FAPI_35_51,2471.6942,22.5982,210.372,9.7787,0.298175,0.065561,0,0.0,0.0,6.023025,0.013068,0.632874,0.079109
FAPI_35_52,2830.5785,24.1833,257.8574,10.8263,0.465035,0.045153,0,0.0,0.0,5.660755,0.012154,0.334861,0.041858
FAPI_35_53,1471.0744,17.4339,151.7947,8.3065,0.19771,0.088319,1,29.3388,0.0,5.709739,0.016877,0.293922,0.03674
FAPI_35_54,882.0248,13.4995,118.497,7.3391,0.210639,0.098521,0,0.0,0.0,5.481596,0.02174,0.650139,0.081267
FAPI_35_55,963.0165,14.1057,130.6918,7.7075,0.291488,0.08421,0,0.0,0.0,5.258158,0.020691,0.413154,0.051644
FAPI_35_56,793.3884,12.8033,111.27,7.1118,0.194733,0.103754,0,0.0,0.0,5.717847,0.022964,0.237237,0.029655
FAPI_35_57,950.0,14.01,135.0355,7.8345,0.345308,0.076579,0,0.0,0.0,5.817866,0.021056,0.333992,0.041749
FAPI_35_58,1244.4215,16.0347,142.0609,8.0357,0.225131,0.088228,0,0.0,0.0,5.163816,0.018188,0.157645,0.019706
FAPI_35_59,1790.9091,19.236,175.899,8.9417,0.272627,0.074363,1,21.4876,0.0,5.713657,0.01531,0.355562,0.044445
FAPI_35_60,720.4545,12.2006,108.653,7.0276,0.23311,0.100051,0,0.0,0.0,5.632098,0.024113,0.72031,0.090039
FAPI_35_61,1460.3306,17.3701,166.222,8.6923,0.335823,0.069912,1,19.4215,0.0,5.925884,0.016989,0.44386,0.055482
FAPI_35_62,3221.4876,25.7992,290.6147,11.4934,0.520674,0.038107,0,0.0,0.0,5.536713,0.011388,0.653774,0.081722
FAPI_35_63,400.6198,9.0979,76.797,5.9083,0.1464,0.132764,0,0.0,0.0,5.309862,0.032153,0.392481,0.04906
FAPI_35_64,1073.1405,14.8904,133.3812,7.7864,0.241986,0.089124,0,0.0,0.0,5.350447,0.019662,0.55343,0.069179
FAPI_35_65,562.8099,10.7835,99.3226,6.7191,0.283072,0.097967,0,0.0,0.0,5.735571,0.027315,0.542099,0.067762
FAPI_35_66,455.7851,9.7041,91.0683,6.4339,0.309386,0.098684,0,0.0,0.0,5.245096,0.03012,0.257056,0.032132
FAPI_35_67,799.7934,12.8548,114.1989,7.2048,0.229338,0.098027,1,25.6198,0.0,5.910802,0.022937,0.834217,0.104277
FAPI_35_68,1097.5207,15.0586,159.5621,8.5164,0.458295,0.058301,0,0.0,0.0,5.307133,0.01944,0.63222,0.079028
FAPI_35_69,679.3388,11.8473,113.7499,7.1906,0.340227,0.084204,0,0.0,0.0,5.388083,0.024717,0.397819,0.049727
FAPI_35_70,845.0413,13.2135,127.6068,7.616,0.347861,0.078508,0,0.0,0.0,5.878058,0.02232,0.379873,0.047484
FAPI_35_71,673.7603,11.7986,131.1518,7.721,0.507772,0.058593,1,20.6612,0.0,5.907277,0.024991,0.50236,0.062795
FAPI_35_72,1410.124,17.0689,198.4546,9.4977,0.55007,0.043409,0,0.0,0.0,5.517626,0.017193,0.639779,0.079972
FAPI_35_73,969.0083,14.1495,142.0877,8.0365,0.396851,0.068794,1,21.4876,0.0,5.795188,0.020813,0.548653,0.068582
FAPI_35_74,2106.6116,20.8627,205.617,9.6676,0.373853,0.059205,0,0.0,0.0,5.489192,0.014055,0.820819,0.102602
FAPI_35_75,567.9752,10.8328,137.9266,7.9179,0.624817,0.043667,0,0.0,0.0,5.696009,0.027146,0.663315,0.082914
