file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_TEMPO_15_58,975.8264,14.1992,129.893,7.6839,0.273206,0.086636,1,16.9421,0.0,5.424595,0.020664,0.292246,0.036531
FAPI_TEMPO_15_59,1850.4132,19.5529,180.509,9.0581,0.286357,0.072018,0,0.0,0.0,5.435791,0.015012,0.335775,0.041972
FAPI_TEMPO_15_60,3527.8926,26.9982,266.5183,11.0066,0.375875,0.051771,0,0.0,0.0,5.682352,0.010906,0.184311,0.023039
FAPI_TEMPO_15_61,681.1983,11.8635,106.9262,6.9716,0.251287,0.098499,0,0.0,0.0,5.456125,0.024723,0.320885,0.040111
FAPI_TEMPO_15_62,494.6281,10.1092,84.7582,6.207,0.134783,0.12795,0,0.0,0.0,5.344482,0.028942,0.223602,0.02795
FAPI_TEMPO_15_63,1112.6033,15.1617,137.7817,7.9138,0.26351,0.085197,0,0.0,0.0,5.639589,0.019416,0.229719,0.028715
FAPI_TEMPO_15_64,370.2479,8.7463,81.1864,6.0748,0.294112,0.106944,0,0.0,0.0,5.607103,0.03361,0.413813,0.051727
FAPI_TEMPO_15_65,693.8017,11.9728,103.7956,6.8688,0.190741,0.108013,0,0.0,0.0,5.192447,0.024414,0.215319,0.026915
FAPI_TEMPO_15_66,372.9339,8.778,75.8422,5.8714,0.185258,0.127598,0,0.0,0.0,5.644619,0.033509,0.384559,0.04807
FAPI_TEMPO_15_67,1179.7521,15.6125,140.1781,7.9823,0.245533,0.086503,0,0.0,0.0,5.642826,0.018848,0.534297,0.066787
FAPI_TEMPO_15_68,800.6198,12.8615,118.341,7.3343,0.281601,0.089791,0,0.0,0.0,5.249323,0.022724,0.457665,0.057208
FAPI_TEMPO_15_69,1114.2562,15.1729,131.114,7.7199,0.185489,0.096555,1,18.8017,0.0,5.641795,0.019376,0.565095,0.070637
FAPI_TEMPO_15_70,1620.6612,18.2988,160.4366,8.5397,0.208783,0.084702,0,0.0,0.0,5.572449,0.016059,0.317201,0.03965
FAPI_TEMPO_15_71,1040.2893,14.6607,128.2497,7.6351,0.205212,0.095293,0,0.0,0.0,5.613222,0.020058,0.511816,0.063977
FAPI_TEMPO_15_72,695.0413,11.9835,99.0106,6.7086,0.109043,0.121709,0,0.0,0.0,5.719159,0.024584,0.619392,0.077424
FAPI_TEMPO_15_73,320.8678,8.1422,77.5044,5.9354,0.328752,0.104212,0,0.0,0.0,5.105368,0.03578,0.439633,0.054954
