r_over_R,FAPI_nn_median_px,FAPI_nn_q25_px,FAPI_nn_q75_px,FAPITEMPO_nn_median_px,FAPITEMPO_nn_q25_px,FAPITEMPO_nn_q75_px,FAPI_imp_median,FAPI_imp_q25,FAPI_imp_q75,FAPI_n_grains,FAPI_mean_ring_pixels,FAPITEMPO_imp_median,FAPITEMPO_imp_q25,FAPITEMPO_imp_q75,FAPITEMPO_n_grains,FAPITEMPO_mean_ring_pixels,FAPI_nn_median_um,FAPI_nn_q25_um,FAPI_nn_q75_um,FAPITEMPO_nn_median_um,FAPITEMPO_nn_q25_um,FAPITEMPO_nn_q75_um
0.62,82.97638896035188,68.44453654718134,101.6245330402595,68.50450897235683,58.05744861241726,83.25187539163379,0.5665674033769306,0.4523708068279777,0.6851179474841063,126895,579.7469325032507,0.5218769862735272,0.426551886579395,0.6307721462634527,174213,374.2680052579314,37.71414044576794,31.109173301326887,46.19003019819625,31.136431759959287,26.388070128454217,37.83935358278736
0.66,82.97690845077263,68.44478013267977,101.62364933125951,68.50458244908644,58.05731597066777,83.25230272902482,0.5665671105229484,0.4523762358413162,0.6851181181771694,126890,545.9069981874064,0.5218802972263469,0.4265536307647387,0.6307727008765658,174195,354.583019030397,37.714376562751745,31.109284014962576,46.18962853784737,31.136465156347523,26.388009840586403,37.8395478146958
0.7,82.97789127179865,68.44511190678577,101.62563542421414,68.50459548460057,58.05745462814416,83.25391720554893,0.5665738675663594,0.4523793060350599,0.6851195625375273,126880,496.1985970996217,0.5218850692684593,0.4265668592481437,0.6307823200889019,174153,324.3587937043864,37.714823271154856,31.109434811778236,46.190531249926885,31.13647108120418,26.388072862701534,37.84028162096454
0.74,82.9795726796624,68.4509256680309,101.63175297490298,68.50847345789805,58.05885334442608,83.25911978302248,0.5665985012066206,0.4524054197857201,0.6851400903216271,126828,432.7844088056265,0.5219169604002871,0.4265744528068083,0.6308088851877325,174001,284.9079717932656,37.715587498823886,31.11207726237008,46.193311777842766,31.138233684173755,26.388708602373523,37.842646278428866
0.78,83.00304203252766,68.47132460541536,101.65320934187976,68.52043375401071,58.06252677458936,83.27780317720146,0.5666819262317375,0.4525065933938398,0.68524469348157,126647,360.2553791246536,0.521990242295128,0.4266759660503991,0.6308944566589626,173491,238.87078292245707,37.726254707667536,31.12134891662138,46.20306405132389,31.14366983646982,26.390378237107345,37.851138189934034
0.8200000000000001,83.04759198703485,68.51663999893944,101.700937414366,68.56063408290629,58.08163519883626,83.32766844887536,0.5670316281152943,0.4528637313052965,0.6854813876281989,126006,285.0096106534609,0.522099307505403,0.4267384096426226,0.6312178463312569,171784,190.2055895776091,37.74650339843594,31.141945512076248,46.2247572492505,31.1619415504951,26.399063331804456,37.87380278022096
0.86,83.19449014425727,68.66210291667119,101.87227805096326,68.65648193587676,58.1421635749493,83.46330015503136,0.5675933408864011,0.453488394448802,0.6860398295161652,124169,213.51611916017688,0.522533934564035,0.4271037373681722,0.6317843053833596,166923,143.88352713526595,37.813271039232625,31.208060812798816,46.30263440097596,31.205505984108626,26.42657447932827,37.93544963276489
0.9,83.57998207127163,68.98394090975219,102.34780780236514,68.92271252870472,58.297023629670285,83.88906874884242,0.5697206754410242,0.4551508764858413,0.687732097500465,119072,151.39306470034936,0.5240272178278284,0.4282772937551605,0.6334946122281156,154314,104.34051349845122,37.988483492537576,31.354341500882757,46.51877053385927,31.32651218954463,26.49696093415432,38.12896849693311
0.94,84.63188454750629,69.82514379440235,103.55040500936047,69.68608122813197,58.8144986141897,85.12362647549335,0.5755831529670444,0.460065938020172,0.6922409101430274,106345,101.127199210118,0.5283183873740016,0.4312338159407737,0.6385610247361446,126394,73.2109752045192,38.46659055674016,31.736682117684488,47.06537084429194,31.673475882503826,26.73216186887639,38.69009539188113
0.98,87.78268402695565,72.67501343730767,107.1766511701606,72.37934540178738,60.435203616090405,89.35112681681659,0.5916613770562759,0.4754267231308023,0.7033672571894868,74948,57.86660084325132,0.5430087010419758,0.4405827178525894,0.6568834924861044,70420,47.32185458676512,39.89868100527951,33.03199498091379,48.71355966900315,32.89760897115064,27.468799083735764,40.611564180832396
