r_over_R,FAPI_nn_median_px,FAPI_nn_q25_px,FAPI_nn_q75_px,FAPI_imp_median,FAPI_imp_q25,FAPI_imp_q75,FAPI_n_grains,FAPI_mean_ring_pixels,FAPITEMPO_nn_median_px,FAPITEMPO_nn_q25_px,FAPITEMPO_nn_q75_px,FAPITEMPO_imp_median,FAPITEMPO_imp_q25,FAPITEMPO_imp_q75,FAPITEMPO_n_grains,FAPITEMPO_mean_ring_pixels
0.42000000000000004,82.97638896035188,68.44527779383878,101.62442456373168,0.5665674033769306,0.4523761417342447,0.68511760609798,126897,528.7806094706731,68.50367209209799,58.056962783412075,83.25162357602234,0.5218744564051904,0.42653107158308734,0.6307411413427668,174227,334.0975279376905
0.45999999999999996,82.97607220377212,68.44461424562675,101.62442456373168,0.5665674033769306,0.4523740650793867,0.68511760609798,126897,562.3771247547223,68.50367209209799,58.05681592267641,83.25137176041089,0.5218744564051904,0.4265321818538304,0.6307451785570676,174225,356.3242760797819
0.5,82.976230582062,68.44511190678577,101.6244788019956,0.5665683649655138,0.4523756225705302,0.6851177767910431,126896,586.5234286344723,68.50450897235683,58.05731597066777,83.25162357602234,0.5218769862735272,0.42654203421661274,0.6307563881690795,174223,372.89621921330706
0.54,82.97607220377212,68.44461424562675,101.62442456373168,0.5665674033769306,0.4523740650793867,0.68511760609798,126897,598.9482020851557,68.50367209209799,58.057183328918285,83.25187539163379,0.5218769862735272,0.426551886579395,0.6307675977810915,174221,382.2284053013127
0.5800000000000001,82.97607220377212,68.44461424562675,101.62442456373168,0.5665674033769306,0.4523740650793867,0.68511760609798,126897,597.2350252567043,68.50409053222741,58.05745011634899,83.25174948382806,0.5218757213393588,0.4265520106579049,0.6307710091428624,174218,383.1827078717469
0.62,82.97638896035188,68.44453654718134,101.6245330402595,0.5665674033769306,0.45237080682797776,0.6851179474841063,126895,579.7469325032507,68.50450897235683,58.05744861241726,83.25187539163379,0.5218769862735272,0.426551886579395,0.6307721462634527,174213,374.2680052579314
0.66,82.97690845077263,68.44478013267977,101.62364933125953,0.5665671105229484,0.45237623584131625,0.6851181181771694,126890,545.9069981874064,68.50458244908644,58.05731597066777,83.25230272902482,0.5218802972263469,0.42655363076473873,0.6307727008765658,174195,354.583019030397
0.7,82.97789127179865,68.44511190678577,101.62563542421414,0.5665738675663594,0.4523793060350599,0.6851195625375273,126880,496.1985970996217,68.50459548460057,58.05745462814416,83.25391720554893,0.5218850692684593,0.4265668592481437,0.6307823200889019,174153,324.35879370438636
0.74,82.9795726796624,68.4509256680309,101.63175297490298,0.5665985012066206,0.45240541978572013,0.6851400903216271,126828,432.7844088056265,68.50847345789805,58.05885334442608,83.25911978302248,0.5219169604002871,0.4265744528068083,0.6308088851877325,174001,284.9079717932656
0.78,83.00304203252766,68.47132460541536,101.65320934187977,0.5666819262317375,0.4525065933938398,0.68524469348157,126647,360.2553791246536,68.52043375401071,58.06252677458936,83.27780317720146,0.521990242295128,0.42667596605039915,0.6308944566589626,173491,238.87078292245707
0.8200000000000001,83.04759198703485,68.51663999893944,101.700937414366,0.5670316281152943,0.4528637313052965,0.6854813876281989,126006,285.0096106534609,68.56063408290629,58.08163519883626,83.32766844887536,0.522099307505403,0.42673840964262266,0.6312178463312569,171784,190.2055895776091
0.86,83.19449014425727,68.66210291667119,101.87227805096326,0.5675933408864011,0.453488394448802,0.6860398295161652,124169,213.51611916017686,68.65648193587676,58.1421635749493,83.46330015503136,0.522533934564035,0.4271037373681722,0.6317843053833596,166923,143.88352713526595
0.9,83.57998207127163,68.98394090975219,102.34780780236514,0.5697206754410242,0.45515087648584135,0.687732097500465,119072,151.39306470034936,68.92271252870472,58.297023629670285,83.88906874884242,0.5240272178278284,0.4282772937551605,0.6334946122281156,154314,104.34051349845122
0.94,84.63188454750629,69.82514379440235,103.55040500936047,0.5755831529670444,0.460065938020172,0.6922409101430274,106345,101.12719921011801,69.68608122813197,58.8144986141897,85.12362647549335,0.5283183873740016,0.4312338159407737,0.6385610247361446,126394,73.2109752045192
0.98,87.78268402695565,72.67501343730767,107.17665117016061,0.5916613770562759,0.47542672313080236,0.7033672571894868,74948,57.86660084325132,72.37934540178738,60.435203616090405,89.35112681681659,0.5430087010419758,0.44058271785258946,0.6568834924861044,70420,47.32185458676512
