r_over_R,FAPI_mean_veff,FAPI_std_veff,FAPI_cv_veff,FAPI_median_veff,FAPI_q25_veff,FAPI_q75_veff,FAPI_n_grains,FAPI_mean_ring_pixels,FAPITEMPO_mean_veff,FAPITEMPO_std_veff,FAPITEMPO_cv_veff,FAPITEMPO_median_veff,FAPITEMPO_q25_veff,FAPITEMPO_q75_veff,FAPITEMPO_n_grains,FAPITEMPO_mean_ring_pixels
0.5800000000000001,0.036021543774440154,0.016523948885789928,0.45872406216845274,0.0315004464482138,0.0243018528660413,0.0429675571907745,180541,560.1935072919724,0.029365719586275048,0.013125559795544696,0.4469687778970457,0.0259312951206094,0.02087534041584235,0.033371212273466955,241606,368.735118333154
0.62,0.03602177593441811,0.0165241255498597,0.45872601006523994,0.0315004739971134,0.024301863779942527,0.042968073491768975,180536,542.9264135684849,0.02936568306435929,0.01312573723104492,0.44697537606320625,0.02593126122925825,0.020875321735069976,0.03337119810781215,241594,359.5861238275785
0.66,0.036022375564728884,0.016524221478130947,0.4587210371075735,0.0315032366708787,0.02430188924574685,0.0429695857824614,180527,510.4511458119838,0.029366528479704338,0.01312619060349832,0.4469779467658233,0.0259313516063914,0.020875321735069976,0.0333713114333872,241566,340.2238518665706
0.7,0.03602446300174456,0.016524447951726515,0.45870074318460435,0.0315061734412262,0.0243055684178684,0.0429715287989888,180499,463.32259458501153,0.02936896005960739,0.013126765603878616,0.4469605180856409,0.0259315549572444,0.020875494533489698,0.03337390144059783,241500,310.85980952380953
0.74,0.03603165514870182,0.01652466411616448,0.4586151828986919,0.031512093329851554,0.024309534054192075,0.04297790020930652,180406,403.6505604026474,0.029380034373801045,0.013127693898363678,0.4468236398685085,0.02594206455339805,0.020884481375388623,0.03338467100051435,241262,272.7983064054845
0.78,0.0360599234991857,0.01652272865938046,0.45820198869122875,0.0315349535279022,0.024337604690301648,0.04300288189064575,180103,335.80715479475634,0.02941686042865399,0.013130210025424898,0.4463498087183769,0.0259770734419998,0.020920146027224272,0.03342227194498847,240490,228.61752671628759
0.8200000000000001,0.03615634417922631,0.01651586816163323,0.45679032370541633,0.03161917688936635,0.024454044306628175,0.043104043234509774,179082,265.7366290302766,0.029539627637336276,0.013140924913908178,0.44485750041408295,0.0260991656341421,0.0210319323957831,0.0335425279770923,237949,182.25209603738617
0.86,0.0364383071666131,0.016501282100875595,0.45285534329089333,0.03188205177836905,0.024795304298382826,0.0433863108604934,176116,199.49400395194075,0.02986952936988,0.01318734423646565,0.44149822627481955,0.0264253846769017,0.02132727760195445,0.033862396332117545,230887,138.12901549242704
0.9,0.037188405626252426,0.01648364320037685,0.44324683789994335,0.0326519623500348,0.025652626874350624,0.044158089045194075,168254,142.19160317139563,0.03073554580939433,0.013345600746656557,0.43420737765383915,0.02729165174045745,0.022090199045914874,0.0347518542540561,212744,100.56920524198097
0.94,0.039146004896827916,0.016496345015502532,0.42140558299575714,0.03464640341683725,0.02773006870325155,0.04624856575235525,148766,95.99736498931208,0.03288105544829199,0.013817528302039361,0.4202276390965763,0.0294197260761977,0.02404518242452435,0.037063191159703676,172876,71.07453897591337
0.98,0.04498146426073025,0.01671156634718253,0.3715211725949098,0.04087887147528275,0.03337730334794513,0.0526956052813233,101490,56.34508818602818,0.039234274046119795,0.01542623713726785,0.3931826830575314,0.0354896041465091,0.02950162687354575,0.044165242257186946,94456,46.48816380113492
